CMS SCHEDULE,YEAR,HCPCS,GEOGRAPHY,MOD,EFF_DATE,SHORTDESC,FILE_NAME,NF RATE,F RATE
3. LAB,2025,80156,NATIONAL,,2025-01-01,Assay carbamazepine total,CLFS 2025 Q1V1.csv,14.57,14.57
3. LAB,2025,80157,NATIONAL,,2025-01-01,Assay carbamazepine free,CLFS 2025 Q1V1.csv,13.25,13.25
3. LAB,2025,80158,NATIONAL,,2025-01-01,Drug assay cyclosporine,CLFS 2025 Q1V1.csv,18.05,18.05
3. LAB,2025,80159,NATIONAL,,2025-01-01,Drug assay clozapine,CLFS 2025 Q1V1.csv,20.15,20.15
3. LAB,2025,80161,NATIONAL,,2025-01-01,"Asy carbamazepin 10,11-epxid",CLFS 2025 Q1V1.csv,18.64,18.64
3. LAB,2025,80162,NATIONAL,,2025-01-01,Assay of digoxin total,CLFS 2025 Q1V1.csv,13.28,13.28
3. LAB,2025,80163,NATIONAL,,2025-01-01,Assay of digoxin free,CLFS 2025 Q1V1.csv,13.28,13.28
3. LAB,2025,80164,NATIONAL,,2025-01-01,Assay dipropylacetic acd tot,CLFS 2025 Q1V1.csv,13.54,13.54
3. LAB,2025,80165,NATIONAL,,2025-01-01,Dipropylacetic acid free,CLFS 2025 Q1V1.csv,13.54,13.54
3. LAB,2025,80167,NATIONAL,,2025-01-01,Drug assay felbamate,CLFS 2025 Q1V1.csv,18.64,18.64
3. LAB,2025,80168,NATIONAL,,2025-01-01,Assay of ethosuximide,CLFS 2025 Q1V1.csv,16.34,16.34
3. LAB,2025,80169,NATIONAL,,2025-01-01,Drug assay everolimus,CLFS 2025 Q1V1.csv,13.73,13.73
3. LAB,2025,80170,NATIONAL,,2025-01-01,Assay of gentamicin,CLFS 2025 Q1V1.csv,16.38,16.38
3. LAB,2025,80171,NATIONAL,,2025-01-01,Drug screen quant gabapentin,CLFS 2025 Q1V1.csv,21.67,21.67
3. LAB,2025,80173,NATIONAL,,2025-01-01,Assay of haloperidol,CLFS 2025 Q1V1.csv,15.78,15.78
3. LAB,2025,80175,NATIONAL,,2025-01-01,Drug screen quan lamotrigine,CLFS 2025 Q1V1.csv,13.25,13.25
3. LAB,2025,80176,NATIONAL,,2025-01-01,Assay of lidocaine,CLFS 2025 Q1V1.csv,14.69,14.69
3. LAB,2025,80177,NATIONAL,,2025-01-01,Drug scrn quan levetiracetam,CLFS 2025 Q1V1.csv,13.25,13.25
3. LAB,2025,80178,NATIONAL,,2025-01-01,Assay of lithium,CLFS 2025 Q1V1.csv,6.61,6.61
3. LAB,2025,80178,NATIONAL,QW,2025-01-01,Assay of lithium,CLFS 2025 Q1V1.csv,6.61,6.61
3. LAB,2025,80179,NATIONAL,,2025-01-01,Drug assay salicylate,CLFS 2025 Q1V1.csv,18.64,18.64
3. LAB,2025,80180,NATIONAL,,2025-01-01,Drug scrn quan mycophenolate,CLFS 2025 Q1V1.csv,18.05,18.05
3. LAB,2025,80181,NATIONAL,,2025-01-01,Drug assay flecainide,CLFS 2025 Q1V1.csv,18.64,18.64
3. LAB,2025,80183,NATIONAL,,2025-01-01,Drug scrn quant oxcarbazepin,CLFS 2025 Q1V1.csv,13.25,13.25
3. LAB,2025,80184,NATIONAL,,2025-01-01,Assay of phenobarbital,CLFS 2025 Q1V1.csv,15.3,15.3
3. LAB,2025,80185,NATIONAL,,2025-01-01,Assay of phenytoin total,CLFS 2025 Q1V1.csv,13.25,13.25
3. LAB,2025,80186,NATIONAL,,2025-01-01,Assay of phenytoin free,CLFS 2025 Q1V1.csv,13.76,13.76
3. LAB,2025,80187,NATIONAL,,2025-01-01,Drug assay posaconazole,CLFS 2025 Q1V1.csv,27.11,27.11
3. LAB,2025,80188,NATIONAL,,2025-01-01,Assay of primidone,CLFS 2025 Q1V1.csv,16.59,16.59
3. LAB,2025,80189,NATIONAL,,2025-01-01,Drug assay itraconazole,CLFS 2025 Q1V1.csv,27.11,27.11
3. LAB,2025,80190,NATIONAL,,2025-01-01,Assay of procainamide,CLFS 2025 Q1V1.csv,60.0,60.0
3. LAB,2025,80192,NATIONAL,,2025-01-01,Assay of procainamide,CLFS 2025 Q1V1.csv,16.75,16.75
3. LAB,2025,80193,NATIONAL,,2025-01-01,Drug assay leflunomide,CLFS 2025 Q1V1.csv,38.57,38.57
3. LAB,2025,80194,NATIONAL,,2025-01-01,Assay of quinidine,CLFS 2025 Q1V1.csv,14.6,14.6
3. LAB,2025,80195,NATIONAL,,2025-01-01,Assay of sirolimus,CLFS 2025 Q1V1.csv,13.73,13.73
3. LAB,2025,80197,NATIONAL,,2025-01-01,Assay of tacrolimus,CLFS 2025 Q1V1.csv,13.73,13.73
3. LAB,2025,80198,NATIONAL,,2025-01-01,Assay of theophylline,CLFS 2025 Q1V1.csv,14.14,14.14
3. LAB,2025,80199,NATIONAL,,2025-01-01,Drug screen quant tiagabine,CLFS 2025 Q1V1.csv,27.11,27.11
3. LAB,2025,80200,NATIONAL,,2025-01-01,Assay of tobramycin,CLFS 2025 Q1V1.csv,16.13,16.13
3. LAB,2025,80201,NATIONAL,,2025-01-01,Assay of topiramate,CLFS 2025 Q1V1.csv,11.92,11.92
3. LAB,2025,80202,NATIONAL,,2025-01-01,Assay of vancomycin,CLFS 2025 Q1V1.csv,13.54,13.54
3. LAB,2025,80203,NATIONAL,,2025-01-01,Drug screen quant zonisamide,CLFS 2025 Q1V1.csv,13.25,13.25
3. LAB,2025,80204,NATIONAL,,2025-01-01,Drug assay methotrexate,CLFS 2025 Q1V1.csv,38.57,38.57
3. LAB,2025,80210,NATIONAL,,2025-01-01,Drug assay rufinamide,CLFS 2025 Q1V1.csv,27.11,27.11
3. LAB,2025,80220,NATIONAL,,2025-01-01,Drug asy hydroxychloroquine,CLFS 2025 Q1V1.csv,18.64,18.64
3. LAB,2025,80230,NATIONAL,,2025-01-01,Drug assay infliximab,CLFS 2025 Q1V1.csv,38.57,38.57
3. LAB,2025,80235,NATIONAL,,2025-01-01,Drug assay lacosamide,CLFS 2025 Q1V1.csv,27.11,27.11
3. LAB,2025,80280,NATIONAL,,2025-01-01,Drug assay vedolizumab,CLFS 2025 Q1V1.csv,38.57,38.57
3. LAB,2025,80285,NATIONAL,,2025-01-01,Drug assay voriconazole,CLFS 2025 Q1V1.csv,27.11,27.11
3. LAB,2025,80299,NATIONAL,,2025-01-01,Quantitative assay drug,CLFS 2025 Q1V1.csv,18.64,18.64
3. LAB,2025,80305,NATIONAL,,2025-01-01,Drug test prsmv dir opt obs,CLFS 2025 Q1V1.csv,12.6,12.6
3. LAB,2025,80305,NATIONAL,QW,2025-01-01,Drug test prsmv dir opt obs,CLFS 2025 Q1V1.csv,12.6,12.6
3. LAB,2025,80306,NATIONAL,,2025-01-01,Drug test prsmv instrmnt,CLFS 2025 Q1V1.csv,17.14,17.14
3. LAB,2025,80307,NATIONAL,,2025-01-01,Drug test prsmv chem anlyzr,CLFS 2025 Q1V1.csv,62.14,62.14
3. LAB,2025,80400,NATIONAL,,2025-01-01,Acth stimulation panel,CLFS 2025 Q1V1.csv,32.62,32.62
3. LAB,2025,80402,NATIONAL,,2025-01-01,Acth stimulation panel,CLFS 2025 Q1V1.csv,86.96,86.96
3. LAB,2025,80406,NATIONAL,,2025-01-01,Acth stimulation panel,CLFS 2025 Q1V1.csv,78.26,78.26
3. LAB,2025,80408,NATIONAL,,2025-01-01,Aldosterone suppression eval,CLFS 2025 Q1V1.csv,125.5,125.5
3. LAB,2025,80410,NATIONAL,,2025-01-01,Calcitonin stimul panel,CLFS 2025 Q1V1.csv,80.37,80.37
3. LAB,2025,80412,NATIONAL,,2025-01-01,Crh stimulation panel,CLFS 2025 Q1V1.csv,801.62,801.62
3. LAB,2025,80414,NATIONAL,,2025-01-01,Testosterone response panel,CLFS 2025 Q1V1.csv,51.64,51.64
3. LAB,2025,80415,NATIONAL,,2025-01-01,Tot estradiol response panel,CLFS 2025 Q1V1.csv,55.89,55.89
3. LAB,2025,80416,NATIONAL,,2025-01-01,Renin stimulation panel,CLFS 2025 Q1V1.csv,209.32,209.32
3. LAB,2025,80417,NATIONAL,,2025-01-01,Renin stimulation panel,CLFS 2025 Q1V1.csv,43.99,43.99
3. LAB,2025,80418,NATIONAL,,2025-01-01,Pituitary evaluation panel,CLFS 2025 Q1V1.csv,579.48,579.48
3. LAB,2025,80420,NATIONAL,,2025-01-01,Dexamethasone panel,CLFS 2025 Q1V1.csv,161.88,161.88
3. LAB,2025,80422,NATIONAL,,2025-01-01,Glucagon tolerance panel,CLFS 2025 Q1V1.csv,46.07,46.07
3. LAB,2025,80424,NATIONAL,,2025-01-01,Glucagon tolerance panel,CLFS 2025 Q1V1.csv,50.5,50.5
3. LAB,2025,80426,NATIONAL,,2025-01-01,Gonadotropin hormone panel,CLFS 2025 Q1V1.csv,148.41,148.41
3. LAB,2025,80428,NATIONAL,,2025-01-01,Growth hormone panel,CLFS 2025 Q1V1.csv,66.7,66.7
3. LAB,2025,80430,NATIONAL,,2025-01-01,Growth hormone panel,CLFS 2025 Q1V1.csv,129.33,129.33
3. LAB,2025,80432,NATIONAL,,2025-01-01,Insulin suppression panel,CLFS 2025 Q1V1.csv,165.61,165.61
3. LAB,2025,80434,NATIONAL,,2025-01-01,Insulin tolerance panel,CLFS 2025 Q1V1.csv,285.03,285.03
3. LAB,2025,80435,NATIONAL,,2025-01-01,Insulin tolerance panel,CLFS 2025 Q1V1.csv,103.0,103.0
3. LAB,2025,80436,NATIONAL,,2025-01-01,Metyrapone panel,CLFS 2025 Q1V1.csv,91.16,91.16
3. LAB,2025,80438,NATIONAL,,2025-01-01,Trh stimulation panel,CLFS 2025 Q1V1.csv,50.41,50.41
3. LAB,2025,80439,NATIONAL,,2025-01-01,Trh stimulation panel,CLFS 2025 Q1V1.csv,67.21,67.21
3. LAB,2025,81000,NATIONAL,,2025-01-01,Urinalysis nonauto w/scope,CLFS 2025 Q1V1.csv,4.02,4.02
3. LAB,2025,81001,NATIONAL,,2025-01-01,Urinalysis auto w/scope,CLFS 2025 Q1V1.csv,3.17,3.17
3. LAB,2025,81002,NATIONAL,,2025-01-01,Urinalysis nonauto w/o scope,CLFS 2025 Q1V1.csv,3.48,3.48
3. LAB,2025,81003,NATIONAL,,2025-01-01,Urinalysis auto w/o scope,CLFS 2025 Q1V1.csv,2.25,2.25
3. LAB,2025,81003,NATIONAL,QW,2025-01-01,Urinalysis auto w/o scope,CLFS 2025 Q1V1.csv,2.25,2.25
3. LAB,2025,81005,NATIONAL,,2025-01-01,Urinalysis,CLFS 2025 Q1V1.csv,2.17,2.17
3. LAB,2025,81007,NATIONAL,,2025-01-01,Urine screen for bacteria,CLFS 2025 Q1V1.csv,29.98,29.98
3. LAB,2025,81007,NATIONAL,QW,2025-01-01,Urine screen for bacteria,CLFS 2025 Q1V1.csv,29.98,29.98
3. LAB,2025,81015,NATIONAL,,2025-01-01,Microscopic exam of urine,CLFS 2025 Q1V1.csv,3.05,3.05
3. LAB,2025,81020,NATIONAL,,2025-01-01,Urinalysis glass test,CLFS 2025 Q1V1.csv,4.7,4.7
3. LAB,2025,81025,NATIONAL,,2025-01-01,Urine pregnancy test,CLFS 2025 Q1V1.csv,8.61,8.61
3. LAB,2025,81050,NATIONAL,,2025-01-01,Urinalysis volume measure,CLFS 2025 Q1V1.csv,3.64,3.64
3. LAB,2025,81105,NATIONAL,,2025-01-01,Hpa-1 genotyping,CLFS 2025 Q1V1.csv,122.22,122.22
3. LAB,2025,81106,NATIONAL,,2025-01-01,Hpa-2 genotyping,CLFS 2025 Q1V1.csv,122.22,122.22
3. LAB,2025,81107,NATIONAL,,2025-01-01,Hpa-3 genotyping,CLFS 2025 Q1V1.csv,122.22,122.22
3. LAB,2025,81108,NATIONAL,,2025-01-01,Hpa-4 genotyping,CLFS 2025 Q1V1.csv,122.22,122.22
3. LAB,2025,81109,NATIONAL,,2025-01-01,Hpa-5 genotyping,CLFS 2025 Q1V1.csv,122.22,122.22
3. LAB,2025,81110,NATIONAL,,2025-01-01,Hpa-6 genotyping,CLFS 2025 Q1V1.csv,122.22,122.22
3. LAB,2025,81111,NATIONAL,,2025-01-01,Hpa-9 genotyping,CLFS 2025 Q1V1.csv,122.22,122.22
3. LAB,2025,81112,NATIONAL,,2025-01-01,Hpa-15 genotyping,CLFS 2025 Q1V1.csv,122.22,122.22
3. LAB,2025,81120,NATIONAL,,2025-01-01,Idh1 common variants,CLFS 2025 Q1V1.csv,193.25,193.25
3. LAB,2025,81121,NATIONAL,,2025-01-01,Idh2 common variants,CLFS 2025 Q1V1.csv,295.79,295.79
3. LAB,2025,81161,NATIONAL,,2025-01-01,Dmd dup/delet analysis,CLFS 2025 Q1V1.csv,279.0,279.0
3. LAB,2025,81162,NATIONAL,,2025-01-01,Brca1&2 gen full seq dup/del,CLFS 2025 Q1V1.csv,1824.88,1824.88
3. LAB,2025,81163,NATIONAL,,2025-01-01,Brca1&2 gene full seq alys,CLFS 2025 Q1V1.csv,468.0,468.0
3. LAB,2025,81164,NATIONAL,,2025-01-01,Brca1&2 gen ful dup/del alys,CLFS 2025 Q1V1.csv,584.23,584.23
3. LAB,2025,81165,NATIONAL,,2025-01-01,Brca1 gene full seq alys,CLFS 2025 Q1V1.csv,282.88,282.88
3. LAB,2025,81166,NATIONAL,,2025-01-01,Brca1 gene full dup/del alys,CLFS 2025 Q1V1.csv,301.35,301.35
3. LAB,2025,81167,NATIONAL,,2025-01-01,Brca2 gene full dup/del alys,CLFS 2025 Q1V1.csv,282.88,282.88
3. LAB,2025,81168,NATIONAL,,2025-01-01,Ccnd1/igh translocation alys,CLFS 2025 Q1V1.csv,207.31,207.31
3. LAB,2025,81170,NATIONAL,,2025-01-01,Abl1 gene,CLFS 2025 Q1V1.csv,300.0,300.0
3. LAB,2025,81171,NATIONAL,,2025-01-01,Aff2 gen aly detc abnl allel,CLFS 2025 Q1V1.csv,137.0,137.0
3. LAB,2025,81172,NATIONAL,,2025-01-01,Aff2 gen alys charac alleles,CLFS 2025 Q1V1.csv,274.83,274.83
3. LAB,2025,81173,NATIONAL,,2025-01-01,Ar gene full gene sequence,CLFS 2025 Q1V1.csv,301.35,301.35
3. LAB,2025,81174,NATIONAL,,2025-01-01,Ar gene known famil variant,CLFS 2025 Q1V1.csv,185.2,185.2
3. LAB,2025,81175,NATIONAL,,2025-01-01,Asxl1 full gene sequence,CLFS 2025 Q1V1.csv,676.5,676.5
3. LAB,2025,81176,NATIONAL,,2025-01-01,Asxl1 gene target seq alys,CLFS 2025 Q1V1.csv,241.9,241.9
3. LAB,2025,81177,NATIONAL,,2025-01-01,Atn1 gene detc abnor alleles,CLFS 2025 Q1V1.csv,137.0,137.0
3. LAB,2025,81178,NATIONAL,,2025-01-01,Atxn1 gene detc abnor allele,CLFS 2025 Q1V1.csv,137.0,137.0
3. LAB,2025,81179,NATIONAL,,2025-01-01,Atxn2 gene detc abnor allele,CLFS 2025 Q1V1.csv,137.0,137.0
3. LAB,2025,81180,NATIONAL,,2025-01-01,Atxn3 gene detc abnor allele,CLFS 2025 Q1V1.csv,137.0,137.0
3. LAB,2025,81181,NATIONAL,,2025-01-01,Atxn7 gene detc abnor allele,CLFS 2025 Q1V1.csv,137.0,137.0
3. LAB,2025,81182,NATIONAL,,2025-01-01,Atxn8os gen detc abnor allel,CLFS 2025 Q1V1.csv,137.0,137.0
3. LAB,2025,81183,NATIONAL,,2025-01-01,Atxn10 gene detc abnor allel,CLFS 2025 Q1V1.csv,137.0,137.0
3. LAB,2025,81184,NATIONAL,,2025-01-01,Cacna1a gen detc abnor allel,CLFS 2025 Q1V1.csv,137.0,137.0
3. LAB,2025,81185,NATIONAL,,2025-01-01,Cacna1a gene full gene seq,CLFS 2025 Q1V1.csv,846.27,846.27
3. LAB,2025,81186,NATIONAL,,2025-01-01,Cacna1a gen known famil vrnt,CLFS 2025 Q1V1.csv,185.2,185.2
3. LAB,2025,81187,NATIONAL,,2025-01-01,Cnbp gene detc abnor allele,CLFS 2025 Q1V1.csv,137.0,137.0
3. LAB,2025,81188,NATIONAL,,2025-01-01,Cstb gene detc abnor allele,CLFS 2025 Q1V1.csv,137.0,137.0
3. LAB,2025,81189,NATIONAL,,2025-01-01,Cstb gene full gene sequence,CLFS 2025 Q1V1.csv,274.83,274.83
3. LAB,2025,81190,NATIONAL,,2025-01-01,Cstb gene known famil vrnt,CLFS 2025 Q1V1.csv,185.2,185.2
3. LAB,2025,81191,NATIONAL,,2025-01-01,Ntrk1 translocation analysis,CLFS 2025 Q1V1.csv,207.31,207.31
3. LAB,2025,81192,NATIONAL,,2025-01-01,Ntrk2 translocation analysis,CLFS 2025 Q1V1.csv,207.31,207.31
3. LAB,2025,81193,NATIONAL,,2025-01-01,Ntrk3 translocation analysis,CLFS 2025 Q1V1.csv,207.31,207.31
3. LAB,2025,81194,NATIONAL,,2025-01-01,Ntrk translocation analysis,CLFS 2025 Q1V1.csv,518.28,518.28
3. LAB,2025,81195,NATIONAL,,2025-01-01,Cytog genom-wid alys hem mal,CLFS 2025 Q1V1.csv,1263.53,1263.53
3. LAB,2025,81200,NATIONAL,,2025-01-01,Aspa gene,CLFS 2025 Q1V1.csv,47.25,47.25
3. LAB,2025,81201,NATIONAL,,2025-01-01,Apc gene full sequence,CLFS 2025 Q1V1.csv,780.0,780.0
3. LAB,2025,81202,NATIONAL,,2025-01-01,Apc gene known fam variants,CLFS 2025 Q1V1.csv,280.0,280.0
3. LAB,2025,81203,NATIONAL,,2025-01-01,Apc gene dup/delet variants,CLFS 2025 Q1V1.csv,200.0,200.0
3. LAB,2025,81204,NATIONAL,,2025-01-01,Ar gene charac alleles,CLFS 2025 Q1V1.csv,137.0,137.0
3. LAB,2025,81205,NATIONAL,,2025-01-01,Bckdhb gene,CLFS 2025 Q1V1.csv,94.99,94.99
3. LAB,2025,81206,NATIONAL,,2025-01-01,Bcr/abl1 gene major bp,CLFS 2025 Q1V1.csv,163.96,163.96
3. LAB,2025,81207,NATIONAL,,2025-01-01,Bcr/abl1 gene minor bp,CLFS 2025 Q1V1.csv,144.84,144.84
3. LAB,2025,81208,NATIONAL,,2025-01-01,Bcr/abl1 gene other bp,CLFS 2025 Q1V1.csv,214.62,214.62
3. LAB,2025,81209,NATIONAL,,2025-01-01,Blm gene,CLFS 2025 Q1V1.csv,39.31,39.31
3. LAB,2025,81210,NATIONAL,,2025-01-01,Braf gene,CLFS 2025 Q1V1.csv,175.4,175.4
3. LAB,2025,81212,NATIONAL,,2025-01-01,Brca1&2 185&5385&6174 vrnt,CLFS 2025 Q1V1.csv,440.0,440.0
3. LAB,2025,81215,NATIONAL,,2025-01-01,Brca1 gene known famil vrnt,CLFS 2025 Q1V1.csv,375.25,375.25
3. LAB,2025,81216,NATIONAL,,2025-01-01,Brca2 gene full seq alys,CLFS 2025 Q1V1.csv,185.12,185.12
3. LAB,2025,81217,NATIONAL,,2025-01-01,Brca2 gene known famil vrnt,CLFS 2025 Q1V1.csv,375.25,375.25
3. LAB,2025,81218,NATIONAL,,2025-01-01,Cebpa gene full sequence,CLFS 2025 Q1V1.csv,241.9,241.9
3. LAB,2025,81219,NATIONAL,,2025-01-01,Calr gene com variants,CLFS 2025 Q1V1.csv,121.63,121.63
3. LAB,2025,81220,NATIONAL,,2025-01-01,Cftr gene com variants,CLFS 2025 Q1V1.csv,556.6,556.6
3. LAB,2025,81221,NATIONAL,,2025-01-01,Cftr gene known fam variants,CLFS 2025 Q1V1.csv,97.22,97.22
3. LAB,2025,81222,NATIONAL,,2025-01-01,Cftr gene dup/delet variants,CLFS 2025 Q1V1.csv,435.07,435.07
3. LAB,2025,81223,NATIONAL,,2025-01-01,Cftr gene full sequence,CLFS 2025 Q1V1.csv,499.0,499.0
3. LAB,2025,81224,NATIONAL,,2025-01-01,Cftr gene intron poly t,CLFS 2025 Q1V1.csv,168.75,168.75
3. LAB,2025,81225,NATIONAL,,2025-01-01,Cyp2c19 gene com variants,CLFS 2025 Q1V1.csv,291.36,291.36
3. LAB,2025,81226,NATIONAL,,2025-01-01,Cyp2d6 gene com variants,CLFS 2025 Q1V1.csv,450.91,450.91
3. LAB,2025,81227,NATIONAL,,2025-01-01,Cyp2c9 gene com variants,CLFS 2025 Q1V1.csv,174.81,174.81
3. LAB,2025,81228,NATIONAL,,2025-01-01,Cytog alys chrml abnr cgh,CLFS 2025 Q1V1.csv,900.0,900.0
3. LAB,2025,81229,NATIONAL,,2025-01-01,Cytog alys chrml abnr snpcgh,CLFS 2025 Q1V1.csv,1160.0,1160.0
3. LAB,2025,81230,NATIONAL,,2025-01-01,Cyp3a4 gene common variants,CLFS 2025 Q1V1.csv,174.81,174.81
3. LAB,2025,81231,NATIONAL,,2025-01-01,Cyp3a5 gene common variants,CLFS 2025 Q1V1.csv,174.81,174.81
3. LAB,2025,81232,NATIONAL,,2025-01-01,Dpyd gene common variants,CLFS 2025 Q1V1.csv,174.81,174.81
3. LAB,2025,81233,NATIONAL,,2025-01-01,Btk gene common variants,CLFS 2025 Q1V1.csv,175.4,175.4
3. LAB,2025,81234,NATIONAL,,2025-01-01,Dmpk gene detc abnor allele,CLFS 2025 Q1V1.csv,137.0,137.0
3. LAB,2025,81235,NATIONAL,,2025-01-01,Egfr gene com variants,CLFS 2025 Q1V1.csv,324.58,324.58
3. LAB,2025,81236,NATIONAL,,2025-01-01,Ezh2 gene full gene sequence,CLFS 2025 Q1V1.csv,282.88,282.88
3. LAB,2025,81237,NATIONAL,,2025-01-01,Ezh2 gene common variants,CLFS 2025 Q1V1.csv,175.4,175.4
3. LAB,2025,81238,NATIONAL,,2025-01-01,F9 full gene sequence,CLFS 2025 Q1V1.csv,600.0,600.0
3. LAB,2025,81239,NATIONAL,,2025-01-01,Dmpk gene charac alleles,CLFS 2025 Q1V1.csv,274.83,274.83
3. LAB,2025,81240,NATIONAL,,2025-01-01,F2 gene,CLFS 2025 Q1V1.csv,65.69,65.69
3. LAB,2025,81241,NATIONAL,,2025-01-01,F5 gene,CLFS 2025 Q1V1.csv,73.37,73.37
3. LAB,2025,81242,NATIONAL,,2025-01-01,Fancc gene,CLFS 2025 Q1V1.csv,36.62,36.62
3. LAB,2025,81243,NATIONAL,,2025-01-01,Fmr1 gen aly detc abnl allel,CLFS 2025 Q1V1.csv,57.04,57.04
3. LAB,2025,81244,NATIONAL,,2025-01-01,Fmr1 gen alys charac alleles,CLFS 2025 Q1V1.csv,44.89,44.89
3. LAB,2025,81245,NATIONAL,,2025-01-01,Flt3 gene,CLFS 2025 Q1V1.csv,165.51,165.51
3. LAB,2025,81246,NATIONAL,,2025-01-01,Flt3 gene analysis,CLFS 2025 Q1V1.csv,83.0,83.0
3. LAB,2025,81247,NATIONAL,,2025-01-01,G6pd gene alys cmn variant,CLFS 2025 Q1V1.csv,174.81,174.81
3. LAB,2025,81248,NATIONAL,,2025-01-01,G6pd known familial variant,CLFS 2025 Q1V1.csv,375.25,375.25
3. LAB,2025,81249,NATIONAL,,2025-01-01,G6pd full gene sequence,CLFS 2025 Q1V1.csv,600.0,600.0
3. LAB,2025,81250,NATIONAL,,2025-01-01,G6pc gene,CLFS 2025 Q1V1.csv,58.49,58.49
3. LAB,2025,81251,NATIONAL,,2025-01-01,Gba gene,CLFS 2025 Q1V1.csv,47.25,47.25
3. LAB,2025,81252,NATIONAL,,2025-01-01,Gjb2 gene full sequence,CLFS 2025 Q1V1.csv,101.12,101.12
3. LAB,2025,81253,NATIONAL,,2025-01-01,Gjb2 gene known fam variants,CLFS 2025 Q1V1.csv,61.52,61.52
3. LAB,2025,81254,NATIONAL,,2025-01-01,Gjb6 gene com variants,CLFS 2025 Q1V1.csv,35.0,35.0
3. LAB,2025,81255,NATIONAL,,2025-01-01,Hexa gene,CLFS 2025 Q1V1.csv,51.45,51.45
3. LAB,2025,81256,NATIONAL,,2025-01-01,Hfe gene,CLFS 2025 Q1V1.csv,65.36,65.36
3. LAB,2025,81257,NATIONAL,,2025-01-01,Hba1/hba2 gene,CLFS 2025 Q1V1.csv,102.26,102.26
3. LAB,2025,81258,NATIONAL,,2025-01-01,Hba1/hba2 gene fam vrnt,CLFS 2025 Q1V1.csv,375.25,375.25
3. LAB,2025,81259,NATIONAL,,2025-01-01,Hba1/hba2 full gene sequence,CLFS 2025 Q1V1.csv,600.0,600.0
3. LAB,2025,81260,NATIONAL,,2025-01-01,Ikbkap gene,CLFS 2025 Q1V1.csv,39.31,39.31
3. LAB,2025,81261,NATIONAL,,2025-01-01,Igh gene rearrange amp meth,CLFS 2025 Q1V1.csv,197.99,197.99
3. LAB,2025,81262,NATIONAL,,2025-01-01,Igh gene rearrang dir probe,CLFS 2025 Q1V1.csv,68.55,68.55
3. LAB,2025,81263,NATIONAL,,2025-01-01,Igh vari regional mutation,CLFS 2025 Q1V1.csv,294.52,294.52
3. LAB,2025,81264,NATIONAL,,2025-01-01,Igk rearrangeabn clonal pop,CLFS 2025 Q1V1.csv,172.73,172.73
3. LAB,2025,81265,NATIONAL,,2025-01-01,Str markers specimen anal,CLFS 2025 Q1V1.csv,233.07,233.07
3. LAB,2025,81266,NATIONAL,,2025-01-01,Str markers spec anal addl,CLFS 2025 Q1V1.csv,304.81,304.81
3. LAB,2025,81267,NATIONAL,,2025-01-01,Chimerism anal no cell selec,CLFS 2025 Q1V1.csv,207.46,207.46
3. LAB,2025,81268,NATIONAL,,2025-01-01,Chimerism anal w/cell select,CLFS 2025 Q1V1.csv,260.79,260.79
3. LAB,2025,81269,NATIONAL,,2025-01-01,Hba1/hba2 gene dup/del vrnts,CLFS 2025 Q1V1.csv,202.4,202.4
3. LAB,2025,81270,NATIONAL,,2025-01-01,Jak2 gene,CLFS 2025 Q1V1.csv,91.66,91.66
3. LAB,2025,81271,NATIONAL,,2025-01-01,Htt gene detc abnor alleles,CLFS 2025 Q1V1.csv,137.0,137.0
3. LAB,2025,81272,NATIONAL,,2025-01-01,Kit gene targeted seq analys,CLFS 2025 Q1V1.csv,329.51,329.51
3. LAB,2025,81273,NATIONAL,,2025-01-01,Kit gene analys d816 variant,CLFS 2025 Q1V1.csv,124.87,124.87
3. LAB,2025,81274,NATIONAL,,2025-01-01,Htt gene charac alleles,CLFS 2025 Q1V1.csv,274.83,274.83
3. LAB,2025,81275,NATIONAL,,2025-01-01,Kras gene variants exon 2,CLFS 2025 Q1V1.csv,193.25,193.25
3. LAB,2025,81276,NATIONAL,,2025-01-01,Kras gene addl variants,CLFS 2025 Q1V1.csv,193.25,193.25
3. LAB,2025,81277,NATIONAL,,2025-01-01,Cytogenomic neo microra alys,CLFS 2025 Q1V1.csv,1160.0,1160.0
3. LAB,2025,81278,NATIONAL,,2025-01-01,Igh@/bcl2 translocation alys,CLFS 2025 Q1V1.csv,207.31,207.31
3. LAB,2025,81279,NATIONAL,,2025-01-01,Jak2 gene trgt sequence alys,CLFS 2025 Q1V1.csv,185.2,185.2
3. LAB,2025,81283,NATIONAL,,2025-01-01,Ifnl3 gene,CLFS 2025 Q1V1.csv,73.37,73.37
3. LAB,2025,81284,NATIONAL,,2025-01-01,Fxn gene detc abnor alleles,CLFS 2025 Q1V1.csv,137.0,137.0
3. LAB,2025,81285,NATIONAL,,2025-01-01,Fxn gene charac alleles,CLFS 2025 Q1V1.csv,274.83,274.83
3. LAB,2025,81286,NATIONAL,,2025-01-01,Fxn gene full gene sequence,CLFS 2025 Q1V1.csv,274.83,274.83
3. LAB,2025,81287,NATIONAL,,2025-01-01,Mgmt gene prmtr mthyltn alys,CLFS 2025 Q1V1.csv,124.64,124.64
3. LAB,2025,81288,NATIONAL,,2025-01-01,Mlh1 gene,CLFS 2025 Q1V1.csv,192.32,192.32
