Addendum AA -- ASC Covered Surgical Procedures for CY 2025                                                                                                                            (Including Surgical Procedures for Which Payment is Packaged),,,,,,
CPT codes and descriptions only are copyright 2024 American Medical Association.ÿ All Rights Reserved.ÿ Applicable FARS/DFARS Apply.  Dental codes (D codes) are copyright 2024 American Dental Association.ÿ All Rights Reserved.,,,,,,
,,,,,,
HCPCS Code,,Short Descriptor,Subject to Multiple Procedure Discounting,January 2025 Payment Indicator,January 2025  Payment Weight  ,January 2025 Payment Rate 
25107,,Remove wrist joint cartilage,Y,A2,28.767,"$1,579.16"
25109,,Excise tendon forearm/wrist,Y,G2,28.767,"$1,579.16"
25110,,Remove wrist tendon lesion,Y,A2,15.2707,$838.29
25111,,Remove wrist tendon lesion,Y,A2,15.2707,$838.29
25112,,Reremove wrist tendon lesion,Y,A2,15.2707,$838.29
25115,,Remove wrist/forearm lesion,Y,A2,15.2707,$838.29
25116,,Remove wrist/forearm lesion,Y,A2,28.767,"$1,579.16"
25118,,Excise wrist tendon sheath,Y,A2,15.2707,$838.29
25119,,Partial removal of ulna,Y,A2,28.767,"$1,579.16"
25120,,Removal of forearm lesion,Y,A2,28.767,"$1,579.16"
25125,,Remove/graft forearm lesion,Y,A2,15.2707,$838.29
25126,,Remove/graft forearm lesion,Y,A2,28.767,"$1,579.16"
25130,,Removal of wrist lesion,Y,A2,28.767,"$1,579.16"
25135,,Remove & graft wrist lesion,Y,A2,63.9555,"$3,510.84"
25136,,Remove & graft wrist lesion,Y,A2,63.9555,"$3,510.84"
25145,,Remove forearm bone lesion,Y,A2,28.767,"$1,579.16"
25150,,Partial removal of ulna,Y,A2,28.767,"$1,579.16"
25151,,Partial removal of radius,Y,A2,28.767,"$1,579.16"
25210,,Removal of wrist bone,Y,A2,28.767,"$1,579.16"
25215,,Removal of wrist bones,Y,A2,28.767,"$1,579.16"
25230,,Partial removal of radius,Y,A2,28.767,"$1,579.16"
25240,,Partial removal of ulna,Y,A2,28.767,"$1,579.16"
25246,,Injection for wrist x-ray,N,N1,,
25248,,Remove forearm foreign body,Y,A2,15.2707,$838.29
25250,,Removal of wrist prosthesis,N,A2,15.2707,$838.29
25251,,Removal of wrist prosthesis,N,A2,28.767,"$1,579.16"
25259,,Manipulate wrist w/anesthes,Y,G2,15.2707,$838.29
25260,,Repair forearm tendon/muscle,Y,A2,28.767,"$1,579.16"
25263,,Repair forearm tendon/muscle,Y,A2,63.9555,"$3,510.84"
25265,,Repair forearm tendon/muscle,Y,A2,28.767,"$1,579.16"
25270,,Repair forearm tendon/muscle,Y,A2,28.767,"$1,579.16"
25272,,Repair forearm tendon/muscle,Y,A2,28.767,"$1,579.16"
25274,,Repair forearm tendon/muscle,Y,A2,28.767,"$1,579.16"
25275,,Repair forearm tendon sheath,Y,A2,28.767,"$1,579.16"
25280,,Revise wrist/forearm tendon,Y,A2,28.767,"$1,579.16"
25290,,Incise wrist/forearm tendon,Y,A2,28.767,"$1,579.16"
25295,,Release wrist/forearm tendon,Y,A2,28.767,"$1,579.16"
25300,,Fusion of tendons at wrist,Y,A2,28.767,"$1,579.16"
25301,,Fusion of tendons at wrist,Y,A2,28.767,"$1,579.16"
25310,,Transplant forearm tendon,Y,A2,28.767,"$1,579.16"
25312,,Transplant forearm tendon,Y,A2,28.767,"$1,579.16"
25315,,Revise palsy hand tendon(s),Y,A2,63.9555,"$3,510.84"
25316,,Revise palsy hand tendon(s),Y,A2,63.9555,"$3,510.84"
25320,,Repair/revise wrist joint,Y,G2,63.9555,"$3,510.84"
25332,,Revise wrist joint,Y,J8,36.4612,"$2,001.54"
25335,,Centralization wrist on ulna,Y,A2,28.767,"$1,579.16"
25337,,Reconstruct ulna/radioulnar,Y,J8,84.2343,"$4,624.04"
25350,,Revision of radius,Y,J8,88.439,"$4,854.86"
25355,,Revision of radius,Y,A2,28.767,"$1,579.16"
25360,,Revision of ulna,Y,A2,63.9555,"$3,510.84"
25365,,Revise radius & ulna,Y,A2,120.8354,"$6,633.26"
25370,,Revise radius or ulna,Y,A2,28.767,"$1,579.16"
25375,,Revise radius & ulna,Y,A2,28.767,"$1,579.16"
25390,,Shorten radius or ulna,Y,J8,88.5991,"$4,863.65"
25391,,Lengthen radius or ulna,Y,J8,172.4212,"$9,465.06"
25392,,Shorten radius & ulna,Y,A2,63.9555,"$3,510.84"
25393,,Lengthen radius & ulna,Y,J8,81.8395,"$4,492.58"
25394,,Repair carpal bone shorten,Y,G2,28.767,"$1,579.16"
25400,,Repair radius or ulna,Y,J8,85.967,"$4,719.16"
25405,,Repair/graft radius or ulna,Y,J8,83.379,"$4,577.09"
25415,,Repair radius & ulna,Y,J8,81.0615,"$4,449.87"
25420,,Repair/graft radius & ulna,Y,J8,81.0615,"$4,449.87"
25425,,Repair/graft radius or ulna,Y,J8,101.4837,"$5,570.95"
25426,,Repair/graft radius & ulna,Y,J8,37.953,"$2,083.43"
25430,,Vasc graft into carpal bone,Y,G2,28.767,"$1,579.16"
25431,,Repair nonunion carpal bone,Y,J8,93.3391,"$5,123.85"
25440,,Repair nonu scphd carpl b1,Y,A2,63.9555,"$3,510.84"
25441,,Arthrp w/prostc dstl rds,Y,J8,182.9511,"$10,043.10"
25442,,Arthrp w/prostc dstl ulna,Y,J8,269.1626,"$14,775.68"
25443,,Arthrp prostc dstl scph crpl,Y,J8,91.9927,"$5,049.94"
25444,,Arthrp w/prostc lunate,Y,J8,196.129,"$10,766.50"
25445,,Arthrp w/prostc trapezium,Y,J8,87.9756,"$4,829.42"
25446,,Arthrp w/prostc dst rds&crps,Y,J8,266.458,"$14,627.21"
25447,,Arthrp ntrcrp/crp/mtcr ntrps,Y,A2,28.767,"$1,579.16"
25448,,Arthrp ntrcrpl/crp/mtcrp ssp,Y,G2,28.767,"$1,579.16"
25449,,Revj arthrp wrist joint,Y,A2,63.9555,"$3,510.84"
25450,,Epiphysl arrst dstl rds/ulna,Y,A2,28.767,"$1,579.16"
25455,,Epiphysl arrst dstl rds&ulna,Y,A2,28.767,"$1,579.16"
25490,,Prophylactic tx radius,Y,A2,63.9555,"$3,510.84"
25491,,Prophylactic tx ulna,Y,J8,153.1547,"$8,407.43"
25492,,Prophylactic tx radius&ulna,Y,A2,28.767,"$1,579.16"
25500,,Cltx rdl shft fx w/o mnpj,Y,P2,2.3486,$128.93
25505,,Cltx rdl shft fx w/mnpj,Y,A2,15.2707,$838.29
25515,,Optx radial shaft fracture,Y,J8,81.387,"$4,467.74"
25520,,Cltx rdl shft fx&dislc,Y,A2,15.2707,$838.29
25525,,Optx rdl shft fx&cltx rad/ul,Y,J8,84.7972,"$4,654.94"
25526,,Optx rdl shft fx&dstl rad/ul,Y,J8,87.1149,"$4,782.17"
25530,,Cltx ulnar shft fx w/o mnpj,Y,P2,2.3486,$128.93
25535,,Cltx ulnar shft fx w/mnpj,Y,A2,2.3486,$128.93
25545,,Optx ulnar shft fx int fixj,Y,J8,80.6587,"$4,427.76"
25560,,Cltx rdl&uln shft fx wo mnpj,Y,P2,2.3486,$128.93
25565,,Cltx rdl&uln shft fx w/mnpj,Y,A2,15.2707,$838.29
25574,,Optx rdl&uln shft fx rds/uln,Y,J8,86.298,"$4,737.33"
25575,,Optx rdl&uln shft fx rds&uln,Y,J8,85.7297,"$4,706.13"
25600,,Cltx dst rdl fx/ephys sep wo,Y,P2,2.3486,$128.93
25605,,Cltx dst rdl fx/ephys sep w/,Y,A2,15.2707,$838.29
25606,,Perq skel fixj dstl rdl fx,Y,A2,28.767,"$1,579.16"
25607,,Optx dst rd xartc fx/epi sep,Y,J8,86.701,"$4,759.45"
25608,,Optx dst rd xart fx/epi sep2,Y,J8,86.7891,"$4,764.29"
25609,,Optx dst rd xart fx/ep sep3+,Y,J8,87.2528,"$4,789.74"
25622,,Cltx carpl scphd fx w/o mnpj,Y,P2,2.3486,$128.93
25624,,Cltx carpl scphd fx w/mnpj,Y,A2,15.2707,$838.29
25628,,Optx carpl scphd fx int fixj,Y,A2,63.9555,"$3,510.84"
25630,,Cltx carpl fx w/o mnpj ea b1,Y,P2,2.3486,$128.93
25635,,Cltx carpl fx w/mnpj ea b1,Y,A2,15.2707,$838.29
25645,,Optx crpl fx oth/thn scph ea,Y,A2,28.767,"$1,579.16"
25650,,Cltx ulnar styloid fracture,Y,P2,2.3486,$128.93
25651,,Perq skel fix ulnar styld fx,Y,G2,28.767,"$1,579.16"
25652,,Optx ulnar styloid fracture,Y,J8,88.6707,"$4,867.58"
25660,,Cltx rdcrpl/ntrcrpl dislc 1+,Y,A2,2.3486,$128.93
25670,,Optx rdcrpl/ntrcrpl dislc 1+,Y,A2,63.9555,"$3,510.84"
25671,,Perq skel fix rad/uln dislc,Y,A2,28.767,"$1,579.16"
25675,,Cltx dstl rad/uln dislc mnpj,Y,A2,2.3486,$128.93
25676,,Optx rad/uln dislc aqt/chrnc,Y,A2,63.9555,"$3,510.84"
25680,,Cltx trns-scphprlnr fx mnpj,Y,A2,2.3486,$128.93
25685,,Optx trns-scphprlnr fx dislc,Y,A2,63.9555,"$3,510.84"
25690,,Cltx lunate dislc w/mnpj,Y,A2,15.2707,$838.29
25695,,Optx lunate dislocation,Y,A2,63.9555,"$3,510.84"
25800,,Arthrd wrist complete wo grf,Y,J8,87.4072,"$4,798.22"
25805,,Arthrd wrist w/sliding graft,Y,J8,90.8174,"$4,985.42"
25810,,Arthrd wrst iliac/oth agrft,Y,J8,157.2832,"$8,634.06"
25820,,Arthrd wrist lmtd w/o b1 grf,Y,J8,85.2497,"$4,679.78"
25825,,Arthrd wrist with autograft,Y,J8,81.3925,"$4,468.04"
25830,,Arthrd dst rad/ul jt sgm rsc,Y,A2,63.9555,"$3,510.84"
25907,,Amputation follow-up surgery,Y,A2,28.767,"$1,579.16"
25922,,Amputate hand at wrist,Y,A2,15.2707,$838.29
25929,,Amputation follow-up surgery,Y,A2,17.8722,$981.09
25931,,Amputation follow-up surgery,Y,G2,28.767,"$1,579.16"
26010,,Drainage of finger abscess,Y,P2,1.945,$106.77
26011,,Drainage of finger abscess,Y,A2,12.9024,$708.28
26020,,Drain hand tendon sheath,Y,A2,28.767,"$1,579.16"
26025,,Drainage of palm bursa,Y,A2,28.767,"$1,579.16"
26030,,Drainage of palm bursas,Y,A2,28.767,"$1,579.16"
26034,,Treat hand bone lesion,Y,A2,15.2707,$838.29
26035,,Decompress fingers/hand,Y,G2,28.767,"$1,579.16"
26037,,Decompress fingers/hand,Y,G2,28.767,"$1,579.16"
26040,,Release palm contracture,Y,A2,15.2707,$838.29
26045,,Release palm contracture,Y,A2,28.767,"$1,579.16"
26055,,Incise finger tendon sheath,Y,A2,15.2707,$838.29
26060,,Incision of finger tendon,Y,A2,15.2707,$838.29
26070,,Explore/treat hand joint,Y,A2,15.2707,$838.29
26075,,Explore/treat finger joint,Y,A2,28.767,"$1,579.16"
26080,,Explore/treat finger joint,Y,A2,15.2707,$838.29
26100,,Biopsy hand joint lining,Y,A2,28.767,"$1,579.16"
26105,,Biopsy finger joint lining,Y,A2,28.767,"$1,579.16"
26110,,Biopsy finger joint lining,Y,A2,15.2707,$838.29
26111,,Exc hand les sc 1.5 cm/>,Y,G2,12.9024,$708.28
26113,,Exc hand tum deep 1.5 cm/>,Y,G2,12.9024,$708.28
26115,,Exc hand les sc < 1.5 cm,Y,G2,12.9024,$708.28
26116,,Exc hand tum deep < 1.5 cm,Y,G2,12.9024,$708.28
26117,,Rad resect hand tumor < 3 cm,Y,G2,21.8945,"$1,201.90"
26118,,Rad resect hand tumor 3 cm/>,Y,G2,21.8945,"$1,201.90"
26121,,Release palm contracture,Y,A2,28.767,"$1,579.16"
26123,,Release palm contracture,Y,A2,28.767,"$1,579.16"
26125,,Release palm contracture,N,N1,,
26130,,Remove wrist joint lining,Y,A2,28.767,"$1,579.16"
26135,,Revise finger joint each,Y,A2,28.767,"$1,579.16"
26140,,Revise finger joint each,Y,A2,15.2707,$838.29
26145,,Tendon excision palm/finger,Y,A2,15.2707,$838.29
26160,,Remove tendon sheath lesion,Y,A2,15.2707,$838.29
26170,,Removal of palm tendon each,Y,A2,15.2707,$838.29
26180,,Removal of finger tendon,Y,A2,15.2707,$838.29
26185,,Remove finger bone,Y,A2,15.2707,$838.29
26200,,Remove hand bone lesion,Y,A2,15.2707,$838.29
26205,,Remove/graft bone lesion,Y,A2,63.9555,"$3,510.84"
26210,,Removal of finger lesion,Y,A2,15.2707,$838.29
26215,,Remove/graft finger lesion,Y,A2,28.767,"$1,579.16"
26230,,Partial removal of hand bone,Y,A2,28.767,"$1,579.16"
26235,,Partial removal finger bone,Y,A2,15.2707,$838.29
26236,,Partial removal finger bone,Y,A2,15.2707,$838.29
26250,,Extensive hand surgery,Y,A2,28.767,"$1,579.16"
26260,,Resect prox finger tumor,Y,A2,28.767,"$1,579.16"
26262,,Resect distal finger tumor,Y,A2,15.2707,$838.29
26320,,Removal of implant from hand,N,A2,12.9024,$708.28
26340,,Manipulate finger w/anesth,Y,G2,15.2707,$838.29
26341,,Manipulat palm cord post inj,Y,P3,,$80.54
26350,,Repair finger/hand tendon,Y,A2,28.767,"$1,579.16"
26352,,Repair/graft hand tendon,Y,A2,63.9555,"$3,510.84"
26356,,Repair finger/hand tendon,Y,A2,28.767,"$1,579.16"
26357,,Repair finger/hand tendon,Y,A2,28.767,"$1,579.16"
26358,,Repair/graft hand tendon,Y,A2,63.9555,"$3,510.84"
26370,,Repair finger/hand tendon,Y,A2,28.767,"$1,579.16"
26372,,Repair/graft hand tendon,Y,J8,81.4311,"$4,470.16"
26373,,Repair finger/hand tendon,Y,A2,28.767,"$1,579.16"
26390,,Revise hand/finger tendon,Y,J8,80.94,"$4,443.20"
26392,,Repair/graft hand tendon,Y,A2,63.9555,"$3,510.84"
26410,,Repair hand tendon,Y,A2,15.2707,$838.29
26412,,Repair/graft hand tendon,Y,A2,28.767,"$1,579.16"
26415,,Excision hand/finger tendon,Y,A2,28.767,"$1,579.16"
26416,,Graft hand or finger tendon,Y,A2,28.767,"$1,579.16"
26418,,Repair finger tendon,Y,A2,15.2707,$838.29
26420,,Repair/graft finger tendon,Y,A2,28.767,"$1,579.16"
26426,,Repair finger/hand tendon,Y,A2,28.767,"$1,579.16"
26428,,Repair/graft finger tendon,Y,A2,28.767,"$1,579.16"
26432,,Repair finger tendon,Y,A2,15.2707,$838.29
26433,,Repair finger tendon,Y,A2,28.767,"$1,579.16"
26434,,Repair/graft finger tendon,Y,A2,28.767,"$1,579.16"
26437,,Realignment of tendons,Y,A2,28.767,"$1,579.16"
26440,,Release palm/finger tendon,Y,A2,15.2707,$838.29
26442,,Release palm & finger tendon,Y,A2,28.767,"$1,579.16"
26445,,Release hand/finger tendon,Y,A2,28.767,"$1,579.16"
26449,,Release forearm/hand tendon,Y,A2,28.767,"$1,579.16"
26450,,Incision of palm tendon,Y,A2,28.767,"$1,579.16"
26455,,Incision of finger tendon,Y,A2,15.2707,$838.29
26460,,Incise hand/finger tendon,Y,A2,15.2707,$838.29
26471,,Fusion of finger tendons,Y,A2,28.767,"$1,579.16"
26474,,Fusion of finger tendons,Y,A2,15.2707,$838.29
26476,,Tendon lengthening,Y,A2,28.767,"$1,579.16"
26477,,Tendon shortening,Y,A2,28.767,"$1,579.16"
26478,,Lengthening of hand tendon,Y,A2,28.767,"$1,579.16"
26479,,Shortening of hand tendon,Y,A2,28.767,"$1,579.16"
26480,,Transplant hand tendon,Y,A2,28.767,"$1,579.16"
26483,,Transplant/graft hand tendon,Y,A2,28.767,"$1,579.16"
26485,,Transplant palm tendon,Y,A2,28.767,"$1,579.16"
26489,,Transplant/graft palm tendon,Y,A2,28.767,"$1,579.16"
26490,,Revise thumb tendon,Y,A2,28.767,"$1,579.16"
26492,,Tendon transfer with graft,Y,A2,28.767,"$1,579.16"
26494,,Hand tendon/muscle transfer,Y,A2,28.767,"$1,579.16"
26496,,Revise thumb tendon,Y,A2,28.767,"$1,579.16"
26497,,Finger tendon transfer,Y,A2,28.767,"$1,579.16"
26498,,Finger tendon transfer,Y,A2,28.767,"$1,579.16"
26499,,Revision of finger,Y,A2,28.767,"$1,579.16"
26500,,Hand tendon reconstruction,Y,A2,63.9555,"$3,510.84"
26502,,Hand tendon reconstruction,Y,A2,28.767,"$1,579.16"
26508,,Release thumb contracture,Y,A2,28.767,"$1,579.16"
26510,,Thumb tendon transfer,Y,A2,28.767,"$1,579.16"
26516,,Fusion of knuckle joint,Y,A2,28.767,"$1,579.16"
26517,,Fusion of knuckle joints,Y,A2,28.767,"$1,579.16"
26518,,Fusion of knuckle joints,Y,G2,63.9555,"$3,510.84"
26520,,Release knuckle contracture,Y,A2,28.767,"$1,579.16"
26525,,Release finger contracture,Y,A2,15.2707,$838.29
26530,,Revise knuckle joint,Y,J8,85.4096,"$4,688.56"
26531,,Revise knuckle with implant,Y,J8,88.3784,"$4,851.53"
26535,,Revise finger joint,Y,A2,28.767,"$1,579.16"
26536,,Revise/implant finger joint,Y,J8,84.135,"$4,618.59"
26540,,Repair hand joint,Y,A2,28.767,"$1,579.16"
26541,,Repair hand joint with graft,Y,J8,37.1786,"$2,040.92"
26542,,Repair hand joint with graft,Y,J8,37.3125,"$2,048.27"
26545,,Reconstruct finger joint,Y,J8,37.4094,"$2,053.59"
26546,,Repair nonunion hand,Y,A2,63.9555,"$3,510.84"
26548,,Reconstruct finger joint,Y,A2,28.767,"$1,579.16"
26550,,Pollicization digit,Y,A2,28.767,"$1,579.16"
26555,,Positional change of finger,Y,A2,63.9555,"$3,510.84"
26560,,Repair of web finger,Y,A2,15.2707,$838.29
26561,,Repair of web finger,Y,A2,28.767,"$1,579.16"
26562,,Repair of web finger,Y,A2,28.767,"$1,579.16"
26565,,Correct metacarpal flaw,Y,A2,28.767,"$1,579.16"
26567,,Correct finger deformity,Y,A2,28.767,"$1,579.16"
26568,,Lengthen metacarpal/finger,Y,J8,86.8334,"$4,766.72"
26580,,Repair cleft hand,Y,A2,28.767,"$1,579.16"
26587,,Reconstruct extra finger,Y,A2,28.767,"$1,579.16"
26590,,Repair finger deformity,Y,A2,15.2707,$838.29
26591,,Repair muscles of hand,Y,A2,28.767,"$1,579.16"
26593,,Release muscles of hand,Y,A2,28.767,"$1,579.16"
26596,,Excision constricting tissue,Y,A2,28.767,"$1,579.16"
26600,,Treat metacarpal fracture,Y,P2,2.3486,$128.93
26605,,Treat metacarpal fracture,Y,A2,2.3486,$128.93
26607,,Treat metacarpal fracture,Y,A2,28.767,"$1,579.16"
26608,,Treat metacarpal fracture,Y,A2,28.767,"$1,579.16"
26615,,Treat metacarpal fracture,Y,A2,28.767,"$1,579.16"
26641,,Treat thumb dislocation,Y,P2,2.3486,$128.93
26645,,Treat thumb fracture,Y,A2,15.2707,$838.29
26650,,Treat thumb fracture,Y,A2,28.767,"$1,579.16"
26665,,Treat thumb fracture,Y,A2,28.767,"$1,579.16"
26670,,Treat hand dislocation,Y,P2,2.3486,$128.93
26675,,Treat hand dislocation,Y,A2,15.2707,$838.29
26676,,Pin hand dislocation,Y,A2,28.767,"$1,579.16"
26685,,Treat hand dislocation,Y,A2,28.767,"$1,579.16"
26686,,Treat hand dislocation,Y,J8,36.4612,"$2,001.54"
26700,,Treat knuckle dislocation,Y,P2,2.3486,$128.93
26705,,Treat knuckle dislocation,Y,A2,15.2707,$838.29
26706,,Pin knuckle dislocation,Y,A2,28.767,"$1,579.16"
26715,,Treat knuckle dislocation,Y,A2,28.767,"$1,579.16"
26720,,Treat finger fracture each,Y,P2,2.3486,$128.93
26725,,Treat finger fracture each,Y,P2,2.3486,$128.93
26727,,Treat finger fracture each,Y,A2,28.767,"$1,579.16"
26735,,Treat finger fracture each,Y,A2,28.767,"$1,579.16"
26740,,Treat finger fracture each,Y,P2,2.3486,$128.93
26742,,Treat finger fracture each,Y,A2,15.2707,$838.29
26746,,Treat finger fracture each,Y,A2,28.767,"$1,579.16"
26750,,Treat finger fracture each,Y,P3,,$125.18
26755,,Treat finger fracture each,Y,G2,2.3486,$128.93
26756,,Pin finger fracture each,Y,A2,28.767,"$1,579.16"
26765,,Treat finger fracture each,Y,A2,28.767,"$1,579.16"
26770,,Treat finger dislocation,Y,G2,2.3486,$128.93
26775,,Treat finger dislocation,Y,P2,2.5964,$142.53
26776,,Pin finger dislocation,Y,A2,28.767,"$1,579.16"
26785,,Treat finger dislocation,Y,A2,28.767,"$1,579.16"
26820,,Thumb fusion with graft,Y,G2,63.9555,"$3,510.84"
26841,,Fusion of thumb,Y,A2,63.9555,"$3,510.84"
26842,,Thumb fusion with graft,Y,J8,81.0615,"$4,449.87"
26843,,Fusion of hand joint,Y,J8,81.0615,"$4,449.87"
26844,,Fusion/graft of hand joint,Y,J8,88.3729,"$4,851.23"
26850,,Fusion of knuckle,Y,A2,63.9555,"$3,510.84"
26852,,Fusion of knuckle with graft,Y,A2,63.9555,"$3,510.84"
26860,,Fusion of finger joint,Y,A2,28.767,"$1,579.16"
26861,,Fusion of finger jnt add-on,N,N1,,
26862,,Fusion/graft of finger joint,Y,A2,28.767,"$1,579.16"
26863,,Fuse/graft added joint,N,N1,,
26910,,Amputate metacarpal bone,Y,A2,28.767,"$1,579.16"
26951,,Amputation of finger/thumb,Y,A2,28.767,"$1,579.16"
26952,,Amputation of finger/thumb,Y,A2,28.767,"$1,579.16"
26990,,Drainage of pelvis lesion,Y,A2,28.767,"$1,579.16"
26991,,Drainage of pelvis bursa,Y,A2,15.2707,$838.29
27000,,Incision of hip tendon,Y,A2,15.2707,$838.29
27001,,Incision of hip tendon,Y,A2,28.767,"$1,579.16"
27003,,Incision of hip tendon,Y,A2,63.9555,"$3,510.84"
27006,,Incision of hip tendons,Y,G2,28.767,"$1,579.16"
27033,,Exploration of hip joint,Y,A2,63.9555,"$3,510.84"
27035,,Denervation of hip joint,Y,A2,28.767,"$1,579.16"
27040,,Biopsy of soft tissues,Y,A2,12.9024,$708.28
27041,,Biopsy of soft tissues,Y,A2,12.9024,$708.28
27043,,Exc hip pelvis les sc 3 cm/>,Y,G2,21.8945,"$1,201.90"
27045,,Exc hip/pelv tum deep 5 cm/>,Y,G2,21.8945,"$1,201.90"
27047,,Exc hip/pelvis les sc < 3 cm,Y,G2,21.8945,"$1,201.90"
27048,,Exc hip/pelv tum deep < 5 cm,Y,G2,21.8945,"$1,201.90"
27049,,Resect hip/pelv tum < 5 cm,Y,G2,21.8945,"$1,201.90"
27050,,Biopsy of sacroiliac joint,Y,A2,15.2707,$838.29
27052,,Biopsy of hip joint,Y,A2,15.2707,$838.29
27059,,Resect hip/pelv tum 5 cm/>,Y,G2,21.8945,"$1,201.90"
27060,,Removal of ischial bursa,Y,A2,63.9555,"$3,510.84"
27062,,Remove femur lesion/bursa,Y,A2,28.767,"$1,579.16"
27065,,Remove hip bone les super,Y,A2,63.9555,"$3,510.84"
27066,,Remove hip bone les deep,Y,A2,28.767,"$1,579.16"
27067,,Remove/graft hip bone lesion,Y,J8,90.8117,"$4,985.11"
27080,,Removal of tail bone,Y,A2,28.767,"$1,579.16"
27086,,Remove hip foreign body,Y,A2,21.8945,"$1,201.90"
27087,,Remove hip foreign body,Y,A2,28.767,"$1,579.16"
27093,,Injection for hip x-ray,N,N1,,
27095,,Injection for hip x-ray,N,N1,,
27097,,Revision of hip tendon,Y,A2,28.767,"$1,579.16"
27098,,Transfer tendon to pelvis,Y,J8,37.377,"$2,051.81"
27100,,Transfer of abdominal muscle,Y,A2,63.9555,"$3,510.84"
27105,,Transfer of spinal muscle,Y,A2,28.767,"$1,579.16"
27110,,Transfer of iliopsoas muscle,Y,J8,86.0277,"$4,722.49"
27111,,Transfer of iliopsoas muscle,Y,A2,28.767,"$1,579.16"
27130,,Total hip arthroplasty,Y,J8,172.1293,"$9,449.04"
27197,,Clsd tx pelvic ring fx,Y,G2,2.3486,$128.93
27198,,Clsd tx pelvic ring fx,Y,G2,2.3486,$128.93
27200,,Treat tail bone fracture,Y,P3,,$118.71
27202,,Treat tail bone fracture,Y,A2,28.767,"$1,579.16"
27220,,Treat hip socket fracture,Y,G2,2.3486,$128.93
27230,,Treat thigh fracture,Y,A2,2.3486,$128.93
27238,,Treat thigh fracture,Y,A2,15.2707,$838.29
27246,,Treat thigh fracture,Y,A2,2.3486,$128.93
27250,,Treat hip dislocation,Y,A2,2.3486,$128.93
27252,,Treat hip dislocation,Y,A2,15.2707,$838.29
27256,,Treat hip dislocation,Y,G2,2.3486,$128.93
27257,,Treat hip dislocation,Y,A2,15.2707,$838.29
27265,,Treat hip dislocation,Y,A2,2.3486,$128.93
27266,,Treat hip dislocation,Y,A2,15.2707,$838.29
27267,,Cltx thigh fx,Y,G2,28.767,"$1,579.16"
27275,,Manipulation of hip joint,Y,A2,15.2707,$838.29
27278,,Arthrd si jt prq wo tfxj dev,Y,J8,285.4657,"$15,670.64"
27279,,Arthrd si jt perq/min nvas,Y,J8,276.4653,"$15,176.56"
27301,,Drain thigh/knee lesion,Y,A2,21.8945,"$1,201.90"
27305,,Incise thigh tendon & fascia,Y,A2,28.767,"$1,579.16"
27306,,Incision of thigh tendon,Y,A2,28.767,"$1,579.16"
27307,,Incision of thigh tendons,Y,A2,28.767,"$1,579.16"
27310,,Exploration of knee joint,Y,A2,28.767,"$1,579.16"
27323,,Biopsy thigh soft tissues,Y,A2,12.9024,$708.28
27324,,Biopsy thigh soft tissues,Y,A2,21.8945,"$1,201.90"
27325,,Neurectomy hamstring,Y,A2,16.8491,$924.93
27326,,Neurectomy popliteal,Y,A2,16.8491,$924.93
27327,,Exc thigh/knee les sc < 3 cm,Y,G2,12.9024,$708.28
27328,,Exc thigh/knee tum deep <5cm,Y,G2,21.8945,"$1,201.90"
27329,,Resect thigh/knee tum < 5 cm,Y,G2,21.8945,"$1,201.90"
27330,,Biopsy knee joint lining,Y,A2,28.767,"$1,579.16"
27331,,Explore/treat knee joint,Y,A2,28.767,"$1,579.16"
27332,,Removal of knee cartilage,Y,A2,28.767,"$1,579.16"
27333,,Removal of knee cartilage,Y,A2,28.767,"$1,579.16"
27334,,Remove knee joint lining,Y,A2,28.767,"$1,579.16"
27335,,Remove knee joint lining,Y,A2,63.9555,"$3,510.84"
27337,,Exc thigh/knee les sc 3 cm/>,Y,G2,21.8945,"$1,201.90"
27339,,Exc thigh/knee tum dep 5cm/>,Y,G2,21.8945,"$1,201.90"
27340,,Removal of kneecap bursa,Y,A2,28.767,"$1,579.16"
27345,,Removal of knee cyst,Y,A2,28.767,"$1,579.16"
27347,,Remove knee cyst,Y,A2,28.767,"$1,579.16"
27350,,Removal of kneecap,Y,A2,63.9555,"$3,510.84"
27355,,Remove femur lesion,Y,A2,28.767,"$1,579.16"
27356,,Remove femur lesion/graft,Y,J8,153.1547,"$8,407.43"
27357,,Remove femur lesion/graft,Y,J8,81.0615,"$4,449.87"
27358,,Remove femur lesion/fixation,N,N1,,
27360,,Partial removal leg bone(s),Y,A2,28.767,"$1,579.16"
27364,,Resect thigh/knee tum 5 cm/>,Y,G2,21.8945,"$1,201.90"
27369,,Njx cntrst kne arthg/ct/mri,N,N1,,
27372,,Removal of foreign body,Y,A2,21.8945,"$1,201.90"
27380,,Repair of kneecap tendon,Y,A2,63.9555,"$3,510.84"
27381,,Repair/graft kneecap tendon,Y,J8,81.216,"$4,458.35"
27385,,Repair of thigh muscle,Y,A2,63.9555,"$3,510.84"
27386,,Repair/graft of thigh muscle,Y,A2,63.9555,"$3,510.84"
27390,,Incision of thigh tendon,Y,A2,28.767,"$1,579.16"
27391,,Incision of thigh tendons,Y,A2,28.767,"$1,579.16"
27392,,Incision of thigh tendons,Y,A2,28.767,"$1,579.16"
27393,,Lengthening of thigh tendon,Y,A2,63.9555,"$3,510.84"
