Addendum BB -- ASC Covered Ancillary Services Integral to Covered Surgical Procedures for CY 2025 (Including Ancillary Services for Which Payment is Packaged),,,,,,,
CPT codes and descriptions only are copyright 2024 American Medical Association.ÿ All Rights Reserved.ÿ Applicable FARS/DFARS Apply.  Dental codes (D codes) are copyright 2024 American Dental Association.ÿ All Rights Reserved.,,,,,,,
,,,,,,,
HCPCS Code,,Short Descriptor,Drug and Device Pass-Through Expiration during Calendar Year,January 2025 Payment Indicator,January 2025 Payment Weight  ,January 2025 Payment Rate ,January 2025 IRA-22 Adjusted Copayment1
77425,,Io rad tx deliver by elctrns,,Z2,40.7015,"$2,234.31",
77435,,Sbrt management,,N1,,,
77470,,Special radiation treatment,,Z3,,$37.20,
77520,,Proton trmt simple w/o comp,,Z2,5.6574,$310.56,
77522,,Proton trmt simple w/comp,,Z2,12.4618,$684.09,
77523,,Proton trmt intermediate,,Z2,12.4618,$684.09,
77525,,Proton treatment complex,,Z2,12.4618,$684.09,
77600,,Hyperthermia ext gen supfc,,Z2,2.5722,$141.20,
77605,,Hyperthermia ext gen deep,,Z2,6.8543,$376.27,
77610,,Hyperthermia ntrstl prb 5/<,,Z2,5.6574,$310.56,
77615,,Hyperthermia ntrstl prb>5,,Z2,5.6574,$310.56,
77620,,Hyperthermia gen intrcv prb,,Z2,5.6574,$310.56,
77750,,Infuse radioactive materials,,Z3,,$128.74,
77761,,Apply intrcav radiat simple,,Z3,,$213.81,
77762,,Apply intrcav radiat interm,,Z3,,$246.16,
77763,,Apply intrcav radiat compl,,Z3,,$323.47,
77767,,Hdr rdncl skn surf brachytx,,Z2,2.5722,$141.20,
77768,,Hdr rdncl skn surf brachytx,,Z2,2.5722,$141.20,
77770,,Hdr rdncl ntrstl/icav brchtx,,Z3,,$237.42,
77771,,Hdr rdncl ntrstl/icav brchtx,,Z2,6.8543,$376.27,
77772,,Hdr rdncl ntrstl/icav brchtx,,Z2,6.8543,$376.27,
77778,,Apply interstit radiat compl,,Z2,6.8543,$376.27,
77789,,Apply surf ldr radionuclide,,Z2,1.0711,$58.80,
77790,,Radiation handling,,N1,,,
77799,,Unlisted px clin brachytx,,Z2,1.0711,$58.80,
78012,,Thyroid uptake measurement,,Z2,3.9486,$216.76,
78013,,Thyroid imaging w/blood flow,,Z2,3.9486,$216.76,
78014,,Thyroid imaging w/blood flow,,Z2,3.9486,$216.76,
78015,,Thyroid met imaging,,Z2,3.9486,$216.76,
78016,,Thyroid met imaging/studies,,Z2,3.9486,$216.76,
78018,,Thyroid met imaging body,,Z2,5.3104,$291.51,
78020,,Thyroid met uptake,,N1,,,
78070,,Parathyroid planar imaging,,Z2,3.9486,$216.76,
78071,,Parathyrd planar w/wo subtrj,,Z2,3.9486,$216.76,
78072,,Parathyrd planar w/spect&ct,,Z2,5.3104,$291.51,
78075,,Adrenal cortex & medulla img,,Z2,12.983,$712.70,
78099,,Unlisted endocrine px dx nuc,,Z2,3.9486,$216.76,
78102,,Bone marrow imaging ltd,,Z2,3.9486,$216.76,
78103,,Bone marrow imaging mult,,Z2,3.9486,$216.76,
78104,,Bone marrow imaging body,,Z2,3.9486,$216.76,
78110,,Plasma volume single,,Z2,12.983,$712.70,
78111,,Plasma volume multiple,,Z2,12.983,$712.70,
78120,,Red cell mass single,,Z2,3.9486,$216.76,
78121,,Red cell mass multiple,,Z2,5.3104,$291.51,
78122,,Whl bld volume determination,,Z2,5.3104,$291.51,
78130,,Red cell survival study,,Z2,3.9486,$216.76,
78140,,Red cell sequestration,,Z2,3.9486,$216.76,
78185,,Spleen imaging,,Z2,3.9486,$216.76,
78191,,Platelet survival study,,Z2,3.9486,$216.76,
78195,,Lymph system imaging,,Z2,5.3104,$291.51,
78199,,Unlstd hematop ret/endo lymp,,Z2,3.9486,$216.76,
78201,,Liver imaging static only,,Z2,5.3104,$291.51,
78202,,Liver imaging with vasc flow,,Z2,5.3104,$291.51,
78215,,Lvr&spleen img static only,,Z2,3.9486,$216.76,
78216,,Lvr&spleen img w/vasc flow,,Z2,3.9486,$216.76,
78226,,Hepatobiliary system imaging,,Z2,3.9486,$216.76,
78227,,Hepatobil syst image w/drug,,Z2,5.3104,$291.51,
78230,,Salivary gland imaging,,Z2,3.9486,$216.76,
78231,,Salivary glnd img serial img,,Z2,3.9486,$216.76,
78232,,Salivary gland function std,,Z2,3.9486,$216.76,
78258,,Esophageal motility,,Z2,3.9486,$216.76,
78261,,Gastric mucosa imaging,,Z2,3.9486,$216.76,
78262,,Gastroesophageal reflux std,,Z2,3.9486,$216.76,
78264,,Gastric emptying imag study,,Z2,3.9486,$216.76,
78265,,Gastric emptying imag study,,Z2,3.9486,$216.76,
78266,,Gastric emptying imag study,,Z2,5.3104,$291.51,
78278,,Acute gi blood loss imaging,,Z2,3.9486,$216.76,
78282,,Gi protein loss exam,,Z2,3.9486,$216.76,
78290,,Meckels divert exam,,Z2,3.9486,$216.76,
78291,,Leveen/shunt patency exam,,Z2,3.9486,$216.76,
78299,,Unlisted gi px dx nuc med,,Z2,3.9486,$216.76,
78300,,Bone imaging limited area,,Z2,3.9486,$216.76,
78305,,Bone imaging multiple areas,,Z2,3.9486,$216.76,
78306,,Bone imaging whole body,,Z2,3.9486,$216.76,
78315,,Bone imaging 3 phase,,Z2,3.9486,$216.76,
78399,,Unlisted muscskel px dx nuc,,Z2,3.9486,$216.76,
78414,,Non-imaging heart function,,Z2,5.3104,$291.51,
78428,,Cardiac shunt imaging,,Z2,3.9486,$216.76,
78429,,Myocrd img pet 1 std w/ct,,Z2,14.2684,$783.26,
78430,,Myocrd img pet rst/strs w/ct,,Z2,14.2684,$783.26,
78431,,Myocrd img pet rst&strs ct,,Z2,22.0081,"$1,208.13",
78432,,Myocrd img pet 2rtracer,,Z2,19.0743,"$1,047.08",
78433,,Myocrd img pet 2rtracer ct,,Z2,22.0081,"$1,208.13",
78434,,Aqmbf pet rest & rx stress,,N1,,,
78445,,Vascular flow imaging,,Z2,3.9486,$216.76,
78451,,Ht muscle image spect sing,,Z2,12.983,$712.70,
78452,,Ht muscle image spect mult,,Z2,12.983,$712.70,
78453,,Ht muscle image planar sing,,Z2,12.983,$712.70,
78454,,Ht musc image planar mult,,Z2,12.983,$712.70,
78456,,Acute venous thrombus image,,Z2,12.983,$712.70,
78457,,Venous thrombosis imaging,,Z2,5.3104,$291.51,
78458,,Ven thrombosis images bilat,,Z2,3.9486,$216.76,
78459,,Myocrd img pet single study,,Z2,12.983,$712.70,
78466,,Heart infarct image,,Z2,3.9486,$216.76,
78468,,Heart infarct image (ef),,Z2,5.3104,$291.51,
78469,,Heart infarct image (3d),,Z2,5.3104,$291.51,
78472,,Gated heart planar single,,Z2,3.9486,$216.76,
78473,,Gated heart multiple,,Z2,3.9486,$216.76,
78481,,Heart first pass single,,Z2,5.3104,$291.51,
78483,,Heart first pass multiple,,Z2,5.3104,$291.51,
78491,,Myocrd img pet 1std rst/strs,,Z2,14.2684,$783.26,
78492,,Myocrd img pet mlt rst&strs,,Z2,14.2684,$783.26,
78494,,Heart image spect,,Z2,3.9486,$216.76,
78496,,Heart first pass add-on,,N1,,,
78499,,Unlisted cv px dx nuc med,,Z2,3.9486,$216.76,
78579,,Lung ventilation imaging,,Z2,3.9486,$216.76,
78580,,Lung perfusion imaging,,Z2,3.9486,$216.76,
78582,,Lung ventilat&perfus imaging,,Z2,5.3104,$291.51,
78597,,Lung perfusion differential,,Z2,3.9486,$216.76,
78598,,Lung perf&ventilat diferentl,,Z2,5.3104,$291.51,
78599,,Unlisted resp px dx nuc med,,Z2,3.9486,$216.76,
78600,,Brain image < 4 views,,Z2,3.9486,$216.76,
78601,,Brain image w/flow < 4 views,,Z2,3.9486,$216.76,
78605,,Brain image 4+ views,,Z2,5.3104,$291.51,
78606,,Brain image w/flow 4 + views,,Z2,5.3104,$291.51,
78608,,Brain imaging (pet),,Z2,14.2684,$783.26,
78610,,Brain flow imaging only,,Z2,5.3104,$291.51,
78630,,Cerebrospinal fluid scan,,Z2,5.3104,$291.51,
78635,,Csf ventriculography,,Z2,5.3104,$291.51,
78645,,Csf shunt evaluation,,Z2,5.3104,$291.51,
78650,,Csf leakage imaging,,Z2,12.983,$712.70,
78660,,Nuclear exam of tear flow,,Z2,3.9486,$216.76,
78699,,Unlisted nrvs sys px dx nuc,,Z2,3.9486,$216.76,
78700,,Kidney imaging morphol,,Z2,3.9486,$216.76,
78701,,Kidney imaging with flow,,Z2,3.9486,$216.76,
78707,,K flow/funct image w/o drug,,Z2,5.3104,$291.51,
78708,,K flow/funct image w/drug,,Z2,5.3104,$291.51,
78709,,K flow/funct image multiple,,Z2,5.3104,$291.51,
78725,,Kidney function study,,Z2,3.9486,$216.76,
78730,,Urinary bladder retention,,N1,,,
78740,,Ureteral reflux study,,Z2,3.9486,$216.76,
78761,,Testicular imaging w/flow,,Z2,3.9486,$216.76,
78799,,Unlisted gu px dx nuc med,,Z2,3.9486,$216.76,
78800,,Rp loclzj tum 1 area 1 d img,,Z2,3.9486,$216.76,
78801,,Rp loclzj tum 2+area 1+d img,,Z2,3.9486,$216.76,
78802,,Rp loclzj tum whbdy 1 d img,,Z2,12.983,$712.70,
78803,,Rp loclzj tum spect 1 area,,Z2,12.983,$712.70,
78804,,Rp loclzj tum whbdy 2+d img,,Z2,12.983,$712.70,
78808,,Iv inj ra drug dx study,,N1,,,
78811,,Pet image ltd area,,Z2,12.983,$712.70,
78812,,Pet image skull-thigh,,Z2,14.2684,$783.26,
78813,,Pet image full body,,Z2,14.2684,$783.26,
78814,,Pet image w/ct lmtd,,Z2,14.2684,$783.26,
78815,,Pet image w/ct skull-thigh,,Z2,14.2684,$783.26,
78816,,Pet image w/ct full body,,Z2,14.2684,$783.26,
78830,,Rp loclzj tum spect w/ct 1,,Z2,12.983,$712.70,
78831,,Rp loclzj tum spect 2 areas,,Z2,12.983,$712.70,
78832,,Rp loclzj tum spect w/ct 2,,Z2,14.2684,$783.26,
78835,,Rp quan meas single area,,N1,,,
78999,,Unlisted misc px dx nuc med,,Z2,3.9486,$216.76,
79005,,Nuclear rx oral admin,,Z3,,$49.49,
79101,,Nuclear rx iv admin,,Z3,,$51.43,
79200,,Nuclear rx intracav admin,,Z3,,$50.14,
79300,,Nuclr rx interstit colloid,,Z2,2.1919,$120.32,
79403,,Hematopoietic nuclear tx,,Z3,,$77.96,
79440,,Nuclear rx intra-articular,,Z3,,$37.85,
79445,,Nuclear rx intra-arterial,,Z2,2.1919,$120.32,
79999,,Rp therapy unlisted px,,Z2,2.1919,$120.32,
90371,,Hep b ig im,,K2,,$146.31,
90375,,Rabies ig im/sc,,K2,,$280.37,
90376,,Rabies ig heat treated,,K2,,$347.32,
90377,,Rabies ig ht&sol human im/sc,,K2,,$250.52,
90378,,Rsv mab im 50mg,,K2,,$719.87,
90393,,Vaccina ig im,,K5,,,
90396,,Varicella-zoster ig im,,K2,,"$2,252.28",
90476,,Adenovirus vaccine type 4,,N1,,,
90581,,Anthrax vaccine sc or im,,K5,,,
90632,,Hepa vaccine adult im,,N1,,,
90633,,Hepa vacc ped/adol 2 dose im,,N1,,,
90634,,Hepa vacc ped/adol 3 dose,,K5,,,
90636,,Hep a/hep b vacc adult im,,N1,,,
90647,,Hib prp-omp vacc 3 dose im,,N1,,,
90648,,Hib prp-t vaccine 4 dose im,,N1,,,
90653,**,Iiv adjuvant vaccine im,,L1,,,
90655,**,Iiv3 vacc no prsv 0.25 ml im,,L1,,,
90656,**,Iiv3 vacc no prsv 0.5 ml im,,L1,,,
90657,**,Iiv3 vaccine splt 0.25 ml im,,L1,,,
90658,,Iiv3 vaccine splt 0.5 ml im,,L1,,,
90660,**,Laiv3 vaccine intranasal,,L1,,,
90661,**,Cciiv3 vac abx fr 0.5 ml im,,L1,,,
90662,**,Iiv no prsv increased ag im,,L1,,,
90670,**,Pcv13 vaccine im,,L1,,,
90672,**,Laiv4 vaccine intranasal,,L1,,,
90673,**,Riv3 vaccine no preserv im,,L1,,,
90674,**,Cciiv4 vac no prsv 0.5 ml im,,L1,,,
90675,,Rabies vaccine im,,K2,,$327.78,
90676,,Rabies vaccine id,,K2,,$264.47,
90680,,Rv5 vacc 3 dose live oral,,K5,,,
90682,**,Riv4 vacc recombinant dna im,,L1,,,
90684,,Pcv21 vaccine im,,L1,,,
90684,,Pcv21 vaccine im,,L1,,,
90685,**,Iiv4 vacc no prsv 0.25 ml im,,L1,,,
90686,**,Iiv4 vacc no prsv 0.5 ml im,,L1,,,
90687,**,Iiv4 vaccine splt 0.25 ml im,,L1,,,
90688,**,Iiv4 vaccine splt 0.5 ml im,,L1,,,
90689,**,Vacc iiv4 no prsrv 0.25ml im,,L1,,,
90690,,Typhoid vaccine oral,,N1,,,
90691,,Typhoid vaccine im,,N1,,,
90694,,Vacc aiiv4 no prsrv 0.5ml im,,L1,,,
90696,,Dtap-ipv vaccine 4-6 yrs im,,N1,,,
90698,,Dtap-ipv/hib vaccine im,,N1,,,
90717,,Yellow fever vaccine subq,,N1,,,
90732,**,Ppsv23 vacc 2 yrs+ subq/im,,L1,,,
90739,**,Hepb vacc 2/4 dose adult im,,F4,,,
90740,**,Hepb vacc 3 dose immunsup im,,F4,,,
90743,**,Hepb vacc 2 dose adolesc im,,F4,,,
90744,**,Hepb vacc 3 dose ped/adol im,,F4,,,
90746,**,Hepb vaccine 3 dose adult im,,F4,,,
90747,**,Hepb vacc 4 dose immunsup im,,F4,,,
90749,,Unlisted vaccine/toxoid,,N1,,,
90756,**,Cciiv4 vacc abx free im,,L1,,,
90759,,Hep b vac 3ag 10mcg 3 dos im,,F4,,,
90885,,Psy evaluation of records,,N1,,,
90887,,Consultation with family,,N1,,,
90889,,Preparation of report,,N1,,,
90940,,Hemodialysis access study,,N1,,,
91035,,G-esoph reflx tst w/electrod,,Z2,5.1914,$284.98,
91200,,Liver elastography,,N1,,,
93355,,Echo transesophageal (tee),,N1,,,
A2001,,"Innovamatrix ac, per sq cm",,N1,,,
A2002,,Mirragen adv wnd mat per sq,,N1,,,
A2004,,"Xcellistem, 1 mg",,N1,,,
A2005,,"Microlyte matrix, per sq cm",,N1,,,
A2006,,Novosorb synpath per sq cm,,N1,,,
A2007,,"Restrata, per sq cm",,N1,,,
A2008,,"Theragenesis, per sq cm",,N1,,,
A2009,,"Symphony, per sq cm",,N1,,,
A2010,,"Apis, per square centimeter",,N1,,,
A2011,,"Supra sdrm, per sq cm",,N1,,,
A2012,,"Suprathel, per sq cm",,N1,,,
A2013,,"Innovamatrix fs, per sq cm",,N1,,,
A2014,,Omeza collag per 100 mg ,,N1,,,
A2015,,"Phoenix wnd mtrx, per sq cm",,N1,,,
A2016,,"Permeaderm b, per sq cm",,N1,,,
A2017,,"Permeaderm glove, each",,N1,,,
A2018,,"Permeaderm c, per sq cm ",,N1,,,
A2019,,Kerecis marigen shld sq cm,,N1,,,
A2020,,Ac5 wound system,,N1,,,
A2021,,Neomatrix per sq cm,,N1,,,
A2022,,Innovabrn/innovamatx xl sqcm,,N1,,,
A2023,,"Innovamatrix pd, 1 mg",,N1,,,
A2024,,Resolve or xenopatch sq cm,,N1,,,
A2025,,Miro3d per cubic cm,,N1,,,
A2026,,"Restrata minimatrix, 5 mg",,N1,,,
A2027,,Matriderm per sq cm,,N1,,,
A2027,,Matriderm per sq cm,,N1,,,
A2028,,Micromatrix flex per mg,,N1,,,
A2028,,Micromatrix flex per mg,,N1,,,
A2029,,Mirotract matrix sheet,,N1,,,
A2029,,Mirotract matrix sheet,,N1,,,
A4100,,Skin sub fda clrd as dev nos,,N1,,,
A4344,,Cath indw foley 2 way silicn,,N1,,,
A9156,,Oral mucoadhesive per 1 ml,,N1,,,
A9500,,Tc99m sestamibi,,N1,,,
A9501,,Technetium tc-99m teboroxime,,N1,,,
A9502,,Tc99m tetrofosmin,,N1,,,
A9503,,Tc99m medronate,,N1,,,
A9504,,Tc99m apcitide,,N1,,,
A9505,,Tl201 thallium,,N1,,,
A9506,,Tc-99m graphite crucible,,K2,,$328.60,
A9507,,In111 capromab,,N1,,,
A9508,,"I131 iodobenguate, dx",,N1,,,
A9509,,Iodine i-123 sod iodide mil,,N1,,,
A9510,,Tc99m disofenin,,N1,,,
A9512,,Tc99m pertechnetate,,N1,,,
A9513,,Lutetium lu 177 dotatat ther,,K2,,$296.25,
A9515,,Choline c-11,,K2,,"$2,062.94",
A9516,,Iodine i-123 sod iodide mic,,N1,,,
A9517,,"I131 iodide cap, rx",,K2,,$23.13,
A9520,,Tc99 tilmanocept diag 0.5mci,,N1,,,
A9521,,Tc99m exametazime,,K2,,"$5,388.99",
A9524,,"I131 serum albumin, dx",,N1,,,
A9526,,Nitrogen n-13 ammonia,,N1,,,
A9527,,Iodine i-125 sodium iodide,,H2,,$208.58,
A9528,,"Iodine i-131 iodide cap, dx",,N1,,,
A9529,,"I131 iodide sol, dx",,N1,,,
A9530,,"I131 iodide sol, rx",,K2,,$20.88,
A9531,,I131 max 100uci,,N1,,,
A9532,,"I125 serum albumin, dx",,N1,,,
A9536,,Tc99m depreotide,,N1,,,
A9537,,Tc99m mebrofenin,,N1,,,
A9538,,Tc99m pyrophosphate,,N1,,,
A9539,,Tc99m pentetate,,N1,,,
A9540,,Tc99m maa,,N1,,,
A9541,,Tc99m sulfur colloid,,N1,,,
A9542,,"In111 ibritumomab, dx",,K2,,$798.02,
A9543,,"Y90 ibritumomab, rx",,K2,,"$56,824.55",
A9546,,Co57/58,,N1,,,
A9547,,In111 oxyquinoline,,K2,,$772.64,
A9548,,In111 pentetate,,K2,,$715.29,
A9550,,Tc99m gluceptate,,N1,,,
A9551,,Tc99m succimer,,N1,,,
A9552,,F18 fdg,,N1,,,
A9553,,Cr51 chromate,,N1,,,
A9554,,"I125 iothalamate, dx",,N1,,,
A9555,,Rb82 rubidium,,N1,,,
A9556,,Ga67 gallium,,N1,,,
A9557,,Tc99m bicisate,,K2,,$683.80,
A9558,,Xe133 xenon 10mci,,N1,,,
A9559,,Co57 cyano,,N1,,,
A9560,,Tc99m labeled rbc,,N1,,,
A9561,,Tc99m oxidronate,,N1,,,
A9562,,Tc99m mertiatide,,N1,,,
A9563,,P32 na phosphate,,K2,,$179.12,
A9566,,Tc99m fanolesomab,,N1,,,
A9567,,Technetium tc-99m aerosol,,N1,,,
A9568,,Technetium tc99m arcitumomab,,K2,,$809.51,
A9569,,Technetium tc-99m auto wbc,,K2,,"$1,040.32",
A9570,,Indium in-111 auto wbc,,K2,,"$1,031.39",
A9571,,Indium in-111 auto platelet,,N1,,,
A9572,,Indium in-111 pentetreotide,,K2,,"$1,914.61",
A9573,,"Inj, gadopiclenol, 1 ml",,N1,,,
A9575,,Inj gadoterate meglumi 0.1ml,,N1,,,
A9576,,Inj prohance multipack,,N1,,,
A9577,,Inj multihance,,N1,,,
A9578,,Inj multihance multipack,,N1,,,
A9579,,"Gad-base mr contrast nos,1ml",,N1,,,
A9580,,Sodium fluoride f-18,,N1,,,
A9581,,Gadoxetate disodium inj,,N1,,,
A9582,,Iodine i-123 iobenguane,,K2,,"$4,380.79",
A9583,,Gadofosveset trisodium inj,,N1,,,
A9584,,Iodine i-123 ioflupane,,K2,,"$1,920.51",
A9585,,Gadobutrol injection,,N1,,,
A9586,,Florbetapir f18,,K2,,"$3,028.84",
A9587,,Gallium ga-68,,K2,,"$3,180.00",
A9588,,Fluciclovine f-18,,K2,,"$5,017.78",
A9589,,Insti hexaminolevulinate hcl,,N1,,,
A9590,,Iodine i-131 iobenguane 1mci,,N1,,,
A9591,,Fluoroestradiol f 18,,K2,,$693.74,
A9592,,Copper cu 64 dotatate diag,,K2,,$959.37,
A9593,,Gallium ga-68 psma-11 ucsf,,K2,,$886.76,
A9594,,"Gallium ga-68 psma-11, ucla",,K2,,$868.23,
A9595,,"Piflu f-18, dia 1 millicurie",,K2,,$615.12,
A9596,,Gallium illuccix 1 millicure,*,K2,,"$1,037.41",
A9597,,"Pet, dx, for tumor id, noc",,N1,,,
A9598,,"Pet dx for non-tumor id, noc",,N1,,,
A9600,,Sr89 strontium,,K2,,"$4,146.34",
A9601,,Flortaucipir inj 1 millicuri,,K2,,"$3,710.00",
A9602,,Fluorodopa f-18 diag per mci,*,K2,,$498.62,
A9603,,"Inj, pafolacianine, 0.1 mg",,N1,,,
A9604,,Sm 153 lexidronam,,K2,,"$4,314.91",
A9606,,Radium ra223 dichloride ther,,K2,,$168.71,
A9607,,Lutetium lu 177 vipivotide,*,K2,,$241.21,
A9608,,Flotufolastat f18 diag 1 mci,,K2,,$651.67,
A9609,,"F18 fdg, 15 millicuries",,N1,,,
A9610,,"Xe129 xenon, diagnostic",,N1,,,
A9615,,"Inj, pegulicianine, 1 mg ",,K2,,$37.51,
A9697,,"Inj, magtrace per study dose",,K2,,"$1,137.96",
A9698,,Non-rad contrast materialnoc,,N1,,,
A9700,,Echocardiography contrast,,N1,,,
A9800,,Gallium locametz 1 millicuri,*,K2,,$873.44,
C1052,,"Hemostatic agent, gi, topic",,N1,,,
C1062,,Intravertebral fx aug impl,,N1,,,
C1600,,"Cath, bladed, vasc prep",,J7,,,
C1601,,"Endo, single, pulmonary",,J7,,,
C1602,,Orth/matrx/bn fill drug-elut,,J7,,,
C1603,,"Ret dev, laser, ivc filter",,J7,,,
C1604,,"Grft, trnsmurl/trnsvens byps",,N1,,,
C1605,,"Pmkr, dual, leadless",,N1,,,
C1606,,"Adapter, us to endoscope",,J7,,,
C1713,,"Anchor/screw bn/bn,tis/bn",,N1,,,
C1714,,"Cath, trans atherectomy, dir",,N1,,,
C1715,,Brachytherapy needle,,N1,,,
C1716,,"Brachytx, non-str, gold-198",,H2,,$868.33,
C1717,,"Brachytx, non-str,hdr ir-192",,H2,,$342.39,
C1719,,"Brachytx, ns, non-hdrir-192",,H2,,$564.50,
C1721,,"Aicd, dual chamber",,N1,,,
C1722,,"Aicd, single chamber",,N1,,,
C1724,,"Cath, trans atherec,rotation",,N1,,,
C1725,,"Cath, translumin non-laser",,N1,,,
C1726,,"Cath, bal dil, non-vascular",,N1,,,
C1727,,"Cath, bal tis dis, non-vas",,N1,,,
C1728,,"Cath, brachytx seed adm",,N1,,,
C1729,,"Cath, drainage",,N1,,,
C1730,,"Cath, ep, 19 or few elect",,N1,,,
C1731,,"Cath, ep, 20 or more elec",,N1,,,
C1732,,"Cath, ep, diag/abl, 3d/vect",,N1,,,
C1733,,"Cath, ep, othr than cool-tip",,N1,,,
C1734,,"Orth/devic/drug bn/bn,tis/bn",,N1,,,
C1735,,Cath renal denerv radiofreq,,J7,,,
C1736,,Cath renal denerv ultrasnd,,J7,,,
C1737,,Si&pelvis fusn&fixn dev,,J7,,,
C1738,,Power endo us-guid bx dev,,J7,,,
C1739,,"Tissue marker, detectable",,N1,,,
C1747,,"Endo, single, urinary tract",*,J7,,,
C1748,,"Endoscope, single, ugi",,N1,,,
C1749,,"Endo, colon, retro imaging",,N1,,,
C1750,,"Cath, hemodialysis,long-term",,N1,,,
C1751,,"Cath, inf, per/cent/midline",,N1,,,
C1752,,"Cath,hemodialysis,short-term",,N1,,,
C1753,,"Cath, intravas ultrasound",,N1,,,
C1754,,"Catheter, intradiscal",,N1,,,
C1755,,"Catheter, intraspinal",,N1,,,
C1756,,"Cath, pacing, transesoph",,N1,,,
C1757,,"Cath, thrombectomy/embolect",,N1,,,
C1758,,"Catheter, ureteral",,N1,,,
C1759,,"Cath, intra echocardiography",,N1,,,
C1760,,"Closure dev, vasc",,N1,,,
C1761,,"Cath, trans intra litho/coro",,N1,,,
C1762,,"Conn tiss, human(inc fascia)",,N1,,,
C1763,,"Conn tiss, non-human",,N1,,,
C1764,,"Event recorder, cardiac",,N1,,,
C1765,,Adhesion barrier,,N1,,,
C1766,,"Intro/sheath,strble,non-peel",,N1,,,
C1767,,"Generator, neuro non-recharg",,N1,,,
C1768,,"Graft, vascular",,N1,,,
C1769,,Guide wire,,N1,,,
C1770,,"Imaging coil, mr, insertable",,N1,,,
C1771,,"Rep dev, urinary, w/sling",,N1,,,
C1772,,"Infusion pump, programmable",,N1,,,
C1773,,"Ret dev, insertable",,N1,,,
C1776,,Joint device (implantable),,N1,,,
C1777,,"Lead, aicd, endo single coil",,N1,,,
C1778,,"Lead, neurostimulator",,N1,,,
C1779,,"Lead, pmkr, transvenous vdd",,N1,,,
C1780,,"Lens, intraocular (new tech)",,N1,,,
C1781,,Mesh (implantable),,N1,,,
C1782,,Morcellator,,N1,,,
C1783,,"Ocular imp, aqueous drain de",,N1,,,
C1784,,"Ocular dev, intraop, det ret",,N1,,,
C1785,,"Pmkr, dual, rate-resp",,N1,,,
C1786,,"Pmkr, single, rate-resp",,N1,,,
C1787,,"Patient progr, neurostim",,N1,,,
C1788,,"Port, indwelling, imp",,N1,,,
C1789,,"Prosthesis, breast, imp",,N1,,,
C1813,,"Prosthesis, penile, inflatab",,N1,,,
C1814,,"Retinal tamp, silicone oil",,N1,,,
C1815,,"Pros, urinary sph, imp",,N1,,,
C1816,,"Receiver/transmitter, neuro",,N1,,,
C1817,,Septal defect imp sys,,N1,,,
C1818,,Integrated keratoprosthesis,,N1,,,
C1819,,Tissue localization-excision,,N1,,,
C1820,,Generator neuro rechg bat sy,,N1,,,
C1821,,Interspinous implant,,N1,,,
C1822,,"Gen, neuro, hf, rechg bat",,N1,,,
C1823,,"Gen, neuro, trans sen/stim",,N1,,,
C1824,,"Generator, ccm, implant",,N1,,,
C1825,,"Gen, neuro, carot sinus baro",,N1,,,
C1826,,"Gen, neuro, clo loop, rechg",*,J7,,,
C1827,,"Gen, neuro, imp led, ex cntr",*,J7,,,
C1830,,Power bone marrow bx needle,,N1,,,
C1831,,Personalized interbody cage,,N1,,,
C1832,,Auto cell process sys,,N1,,,
C1833,,Cardiac monitor sys,,N1,,,
C1839,,Iris prosthesis,,N1,,,
C1840,,Telescopic intraocular lens,,N1,,,
C1874,,"Stent, coated/cov w/del sys",,N1,,,
C1875,,"Stent, coated/cov w/o del sy",,N1,,,
C1876,,"Stent, non-coa/non-cov w/del",,N1,,,
C1877,,"Stent, non-coat/cov w/o del",,N1,,,
C1878,,Matrl for vocal cord,,N1,,,
C1880,,Vena cava filter,,N1,,,
C1881,,Dialysis access system,,N1,,,
C1882,,"Aicd, other than sing/dual",,N1,,,
C1883,,"Adapt/ext, pacing/neuro lead",,N1,,,
C1884,,Embolization protect syst,,N1,,,
C1885,,"Cath, translumin angio laser",,N1,,,
C1886,,"Catheter, ablation",,N1,,,
C1887,,"Catheter, guiding",,N1,,,
C1888,,Endovas non-cardiac abl cath,,N1,,,
C1889,,"Implant/insert device, noc",,N1,,,
C1890,,No device w/dev-intensive px,,J7,,,
C1891,,"Infusion pump,non-prog, perm",,N1,,,
C1892,,"Intro/sheath,fixed,peel-away",,N1,,,
C1893,,"Intro/sheath, fixed,non-peel",,N1,,,
C1894,,"Intro/sheath, non-laser",,N1,,,
C1895,,"Lead, aicd, endo dual coil",,N1,,,
C1896,,"Lead, aicd, non sing/dual",,N1,,,
C1897,,"Lead, neurostim test kit",,N1,,,
C1898,,"Lead, pmkr, other than trans",,N1,,,
C1899,,"Lead, pmkr/aicd combination",,N1,,,
C1900,,"Lead, coronary venous",,N1,,,
C1982,,"Cath, pressure,valve-occlu",,N1,,,
C2596,,"Probe, robotic, water-jet",,N1,,,
C2613,,Lung bx plug w/del sys,,N1,,,
C2614,,"Probe, perc lumb disc",,N1,,,
C2615,,"Sealant, pulmonary, liquid",,N1,,,
C2616,,"Brachytx, non-str,yttrium-90",,H2,,"$17,485.10",
C2617,,"Stent, non-cor, tem w/o del",,N1,,,
C2618,,"Probe/needle, cryo",,N1,,,
C2619,,"Pmkr, dual, non rate-resp",,N1,,,
C2620,,"Pmkr, single, non rate-resp",,N1,,,
