"Durable Medical Equipment,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*** Non-continental areas ***,,,,
"Prosthetics, Orthotics, and Supplies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Not subject to ceiling and floor),,,,
(DMEPOS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2025 Fee Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCPCS,Mod,Mod2,JURIS,CATG,Ceiling,Floor,AL (NR),AL (R),AR (NR),AR (R),AZ (NR),AZ (R),CA (NR),CA (R),CO (NR),CO (R),CT (NR),CT (R),DC (NR),DC (R),DE (NR),DE (R),FL (NR),FL (R),GA (NR),GA (R),IA (NR),IA (R),ID (NR),ID (R),IL (NR),IL (R),IN (NR),IN (R),KS (NR),KS (R),KY (NR),KY (R),LA (NR),LA (R),MA (NR),MA (R),MD (NR),MD (R),ME (NR),ME (R),MI (NR),MI (R),MN (NR),MN (R),MO (NR),MO (R),MS (NR),MS (R),MT (NR),MT (R),NC (NR),NC (R),ND (NR),ND (R),NE (NR),NE (R),NH (NR),NH (R),NJ (NR),NJ (R),NM (NR),NM (R),NV (NR),NV (R),NY (NR),NY (R),OH (NR),OH (R),OK (NR),OK (R),OR (NR),OR (R),PA (NR),PA (R),RI (NR),RI (R),SC (NR),SC (R),SD (NR),SD (R),TN (NR),TN (R),TX (NR),TX (R),UT (NR),UT (R),VA (NR),VA (R),VT (NR),VT (R),WA (NR),WA (R),WI (NR),WI (R),WV (NR),WV (R),WY (NR),WY (R),AK (NR),AK (R),HI (NR),HI (R),PR (NR),PR (R),VI (NR),VI (R),Description
E0607,RR,,D,IN,0.00,0.00,9.33,0.00,9.33,0.00,9.33,0.00,9.33,0.00,9.33,0.00,9.33,0.00,9.33,0.00,9.33,0.00,9.33,0.00,9.33,0.00,9.33,0.00,9.33,0.00,9.33,0.00,9.33,0.00,9.33,0.00,9.33,0.00,9.33,0.00,9.33,0.00,9.33,0.00,9.33,0.00,9.33,0.00,9.33,0.00,9.33,0.00,9.33,0.00,9.33,0.00,9.33,0.00,9.33,0.00,9.33,0.00,9.33,0.00,9.33,0.00,9.33,0.00,9.33,0.00,9.33,0.00,9.33,0.00,9.33,0.00,9.33,0.00,9.33,0.00,9.33,0.00,9.33,0.00,9.33,0.00,9.33,0.00,9.33,0.00,9.33,0.00,9.33,0.00,9.33,0.00,9.33,0.00,9.33,0.00,9.33,0.00,9.33,0.00,10.66,0.00,10.66,0.00,10.66,0.00,9.33,0.00,Blood glucose monitor home
E0607,UE,,D,IN,0.00,0.00,70.00,0.00,70.00,0.00,70.00,0.00,70.00,0.00,70.00,0.00,70.00,0.00,70.00,0.00,70.00,0.00,70.00,0.00,70.00,0.00,70.00,0.00,70.00,0.00,70.00,0.00,70.00,0.00,70.00,0.00,70.00,0.00,70.00,0.00,70.00,0.00,70.00,0.00,70.00,0.00,70.00,0.00,70.00,0.00,70.00,0.00,70.00,0.00,70.00,0.00,70.00,0.00,70.00,0.00,70.00,0.00,70.00,0.00,70.00,0.00,70.00,0.00,70.00,0.00,70.00,0.00,70.00,0.00,70.00,0.00,70.00,0.00,70.00,0.00,70.00,0.00,70.00,0.00,70.00,0.00,70.00,0.00,70.00,0.00,70.00,0.00,70.00,0.00,70.00,0.00,70.00,0.00,70.00,0.00,70.00,0.00,70.00,0.00,79.82,0.00,79.82,0.00,79.82,0.00,70.00,0.00,Blood glucose monitor home
E0610,NU,,D,IN,332.32,282.47,294.00,0.00,282.47,0.00,332.32,0.00,332.32,0.00,332.32,0.00,282.47,0.00,332.32,0.00,332.32,0.00,332.32,0.00,294.00,0.00,332.32,0.00,313.91,0.00,332.32,0.00,332.32,0.00,332.32,0.00,294.00,0.00,282.47,0.00,282.47,0.00,332.32,0.00,282.47,0.00,332.32,0.00,332.32,0.00,332.32,0.00,332.32,0.00,332.32,0.00,294.00,0.00,332.32,0.00,332.32,0.00,282.47,0.00,332.32,0.00,292.16,0.00,332.32,0.00,332.32,0.00,332.32,0.00,283.62,0.00,282.47,0.00,332.32,0.00,282.47,0.00,294.00,0.00,332.32,0.00,332.32,0.00,332.32,0.00,332.32,0.00,332.32,0.00,282.47,0.00,282.47,0.00,282.47,0.00,332.32,0.00,332.32,0.00,652.45,0.00,697.61,0.00,706.74,0.00,332.32,0.00,Pacemaker monitr audible/vis
E0610,RR,,D,IN,35.05,29.79,33.51,0.00,29.79,0.00,35.05,0.00,35.05,0.00,33.24,0.00,29.79,0.00,35.05,0.00,35.05,0.00,35.05,0.00,29.79,0.00,35.05,0.00,31.38,0.00,35.05,0.00,35.05,0.00,35.05,0.00,35.05,0.00,29.79,0.00,29.79,0.00,35.05,0.00,29.79,0.00,35.05,0.00,35.05,0.00,34.33,0.00,35.05,0.00,33.24,0.00,29.79,0.00,33.24,0.00,35.05,0.00,29.79,0.00,35.05,0.00,29.79,0.00,35.05,0.00,35.05,0.00,35.05,0.00,29.79,0.00,29.79,0.00,35.05,0.00,29.79,0.00,29.79,0.00,33.24,0.00,35.05,0.00,35.05,0.00,33.24,0.00,35.05,0.00,29.79,0.00,29.79,0.00,35.05,0.00,35.05,0.00,33.24,0.00,52.97,0.00,56.67,0.00,88.34,0.00,35.05,0.00,Pacemaker monitr audible/vis
E0610,UE,,D,IN,249.27,211.88,220.48,0.00,211.88,0.00,249.27,0.00,249.27,0.00,249.27,0.00,211.88,0.00,249.27,0.00,249.27,0.00,249.27,0.00,220.48,0.00,249.27,0.00,235.41,0.00,249.27,0.00,249.27,0.00,249.27,0.00,220.48,0.00,211.88,0.00,211.88,0.00,249.27,0.00,211.88,0.00,249.27,0.00,249.27,0.00,249.27,0.00,249.27,0.00,249.27,0.00,220.48,0.00,249.27,0.00,249.27,0.00,211.88,0.00,249.27,0.00,219.14,0.00,249.27,0.00,249.27,0.00,249.27,0.00,212.76,0.00,211.88,0.00,249.27,0.00,211.88,0.00,220.48,0.00,249.27,0.00,249.27,0.00,249.27,0.00,249.27,0.00,249.27,0.00,211.88,0.00,211.88,0.00,211.88,0.00,249.27,0.00,249.27,0.00,476.97,0.00,510.00,0.00,530.09,0.00,249.27,0.00,Pacemaker monitr audible/vis
E0615,NU,,D,IN,668.96,568.62,668.96,0.00,568.62,0.00,662.33,0.00,629.66,0.00,668.96,0.00,668.96,0.00,588.97,0.00,588.97,0.00,668.96,0.00,668.96,0.00,662.33,0.00,668.96,0.00,668.96,0.00,629.66,0.00,662.33,0.00,668.96,0.00,568.62,0.00,668.96,0.00,588.97,0.00,668.96,0.00,607.17,0.00,588.97,0.00,568.62,0.00,668.96,0.00,668.96,0.00,668.96,0.00,668.96,0.00,662.33,0.00,668.96,0.00,588.97,0.00,568.62,0.00,662.33,0.00,610.80,0.00,620.38,0.00,568.62,0.00,568.62,0.00,588.97,0.00,668.96,0.00,668.96,0.00,668.96,0.00,668.96,0.00,668.96,0.00,668.96,0.00,668.96,0.00,668.96,0.00,668.96,0.00,588.97,0.00,620.38,0.00,668.96,0.00,635.94,0.00,680.02,0.00,706.74,0.00,610.80,0.00,Pacemaker monitr digital/vis
E0615,RR,,D,IN,81.74,69.48,81.74,0.00,69.48,0.00,69.48,0.00,69.48,0.00,81.74,0.00,81.74,0.00,81.74,0.00,81.74,0.00,81.24,0.00,81.74,0.00,69.48,0.00,72.11,0.00,81.74,0.00,81.74,0.00,69.48,0.00,81.74,0.00,69.48,0.00,81.74,0.00,69.48,0.00,81.74,0.00,81.74,0.00,69.48,0.00,69.48,0.00,81.74,0.00,81.74,0.00,81.74,0.00,81.74,0.00,69.48,0.00,81.74,0.00,81.74,0.00,69.48,0.00,69.48,0.00,69.48,0.00,81.74,0.00,69.48,0.00,69.48,0.00,81.74,0.00,81.74,0.00,81.74,0.00,81.74,0.00,81.74,0.00,81.74,0.00,81.74,0.00,81.74,0.00,81.74,0.00,77.95,0.00,69.48,0.00,81.74,0.00,81.74,0.00,52.97,0.00,56.67,0.00,88.34,0.00,69.48,0.00,Pacemaker monitr digital/vis
E0615,UE,,D,IN,501.78,426.51,501.78,0.00,426.51,0.00,496.75,0.00,472.26,0.00,501.78,0.00,501.78,0.00,441.74,0.00,441.74,0.00,501.78,0.00,501.78,0.00,472.26,0.00,501.78,0.00,501.78,0.00,472.26,0.00,472.26,0.00,501.78,0.00,426.51,0.00,501.78,0.00,441.74,0.00,501.78,0.00,455.40,0.00,441.74,0.00,426.51,0.00,501.78,0.00,501.78,0.00,501.78,0.00,501.78,0.00,472.26,0.00,501.78,0.00,441.74,0.00,426.51,0.00,496.75,0.00,453.04,0.00,465.24,0.00,426.51,0.00,426.51,0.00,441.74,0.00,501.78,0.00,501.78,0.00,501.78,0.00,501.78,0.00,501.78,0.00,501.78,0.00,501.78,0.00,501.78,0.00,501.78,0.00,441.74,0.00,465.24,0.00,501.78,0.00,476.97,0.00,510.00,0.00,530.08,0.00,453.04,0.00,Pacemaker monitr digital/vis
E0617,RR,,D,CR,424.80,361.08,424.80,0.00,424.80,0.00,424.80,0.00,424.80,0.00,424.80,0.00,424.80,0.00,424.80,0.00,424.80,0.00,424.80,0.00,424.80,0.00,424.80,0.00,424.80,0.00,424.80,0.00,424.80,0.00,424.80,0.00,424.80,0.00,424.80,0.00,424.80,0.00,424.80,0.00,424.80,0.00,424.80,0.00,424.80,0.00,424.80,0.00,424.80,0.00,424.80,0.00,424.80,0.00,424.80,0.00,424.80,0.00,424.80,0.00,424.80,0.00,424.80,0.00,424.80,0.00,424.80,0.00,424.80,0.00,424.80,0.00,424.80,0.00,424.80,0.00,424.80,0.00,424.80,0.00,424.80,0.00,424.80,0.00,424.80,0.00,424.80,0.00,424.80,0.00,424.80,0.00,424.80,0.00,424.80,0.00,424.80,0.00,424.80,0.00,424.80,0.00,424.80,0.00,509.81,0.00,424.80,0.00,Automatic ext defibrillator
E0617,RR,KF,D,CR,471.65,400.90,471.65,0.00,471.65,0.00,471.65,0.00,471.65,0.00,471.65,0.00,471.65,0.00,471.65,0.00,471.65,0.00,471.65,0.00,471.65,0.00,471.65,0.00,471.65,0.00,471.65,0.00,471.65,0.00,471.65,0.00,471.65,0.00,471.65,0.00,471.65,0.00,471.65,0.00,471.65,0.00,471.65,0.00,471.65,0.00,471.65,0.00,471.65,0.00,471.65,0.00,471.65,0.00,471.65,0.00,471.65,0.00,471.65,0.00,471.65,0.00,471.65,0.00,471.65,0.00,471.65,0.00,471.65,0.00,471.65,0.00,471.65,0.00,471.65,0.00,471.65,0.00,471.65,0.00,471.65,0.00,471.65,0.00,471.65,0.00,471.65,0.00,471.65,0.00,471.65,0.00,471.65,0.00,471.65,0.00,471.65,0.00,471.65,0.00,471.65,0.00,471.65,0.00,565.98,0.00,471.65,0.00,Automatic ext defibrillator
E0618,RR,,D,CR,391.72,332.96,332.96,0.00,391.72,0.00,380.93,0.00,364.68,0.00,382.52,0.00,391.72,0.00,369.21,0.00,356.36,0.00,332.96,0.00,391.72,0.00,391.72,0.00,391.72,0.00,391.72,0.00,366.95,0.00,391.72,0.00,332.96,0.00,332.96,0.00,391.72,0.00,391.72,0.00,391.72,0.00,332.96,0.00,391.72,0.00,391.72,0.00,391.72,0.00,332.96,0.00,391.72,0.00,341.48,0.00,360.49,0.00,391.72,0.00,342.63,0.00,391.72,0.00,390.15,0.00,391.72,0.00,391.72,0.00,391.72,0.00,391.72,0.00,349.96,0.00,391.72,0.00,391.72,0.00,371.92,0.00,391.72,0.00,332.96,0.00,332.96,0.00,332.96,0.00,391.72,0.00,391.72,0.00,363.08,0.00,381.46,0.00,370.76,0.00,368.30,0.00,393.83,0.00,484.87,0.00,391.72,0.00,Apnea monitor
E0619,RR,,D,CR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Apnea monitor w recorder
E0620,RR,,D,CR,122.15,103.83,122.15,0.00,122.15,0.00,122.15,0.00,122.15,0.00,122.15,0.00,122.15,0.00,122.15,0.00,122.15,0.00,122.15,0.00,122.15,0.00,122.15,0.00,122.15,0.00,122.15,0.00,122.15,0.00,122.15,0.00,122.15,0.00,122.15,0.00,122.15,0.00,122.15,0.00,122.15,0.00,122.15,0.00,122.15,0.00,122.15,0.00,122.15,0.00,122.15,0.00,122.15,0.00,122.15,0.00,122.15,0.00,122.15,0.00,122.15,0.00,122.15,0.00,122.15,0.00,122.15,0.00,122.15,0.00,122.15,0.00,122.15,0.00,122.15,0.00,122.15,0.00,122.15,0.00,122.15,0.00,122.15,0.00,122.15,0.00,122.15,0.00,122.15,0.00,122.15,0.00,122.15,0.00,122.15,0.00,122.15,0.00,122.15,0.00,122.15,0.00,122.15,0.00,146.63,0.00,122.15,0.00,Cap bld skin piercing laser
E0621,NU,,D,IN,0.00,0.00,97.14,112.64,97.14,122.70,103.18,120.37,93.19,118.39,100.29,122.70,111.29,122.70,103.05,122.70,103.05,122.70,97.14,114.91,97.14,112.64,98.30,112.64,100.29,116.86,104.76,112.64,104.76,117.68,98.30,122.70,97.14,112.64,97.14,122.70,111.29,122.70,103.05,122.70,111.29,122.70,104.76,112.80,98.30,118.08,98.30,112.64,97.14,122.70,100.29,122.70,97.14,114.42,98.30,112.64,98.30,122.70,111.29,122.70,103.05,112.64,103.18,122.70,93.19,122.70,103.05,112.64,104.76,122.70,103.18,122.70,93.19,122.70,103.05,120.47,111.29,122.70,97.14,112.64,98.30,112.64,97.14,114.42,103.18,122.70,100.29,112.64,97.14,122.70,111.29,122.70,93.19,122.70,104.76,122.70,97.14,112.64,100.29,112.64,122.60,0.00,126.99,0.00,124.51,0.00,114.00,0.00,Patient lift sling or seat
E0621,RR,,D,IN,0.00,0.00,9.71,10.98,9.71,12.02,10.32,12.02,9.32,11.85,10.03,10.98,11.13,12.02,10.31,12.02,10.31,12.02,9.71,11.49,9.71,10.98,9.83,10.98,10.03,11.68,10.48,10.98,10.48,11.77,9.83,12.02,9.71,10.98,9.71,12.02,11.13,12.02,10.31,12.02,11.13,12.02,10.48,11.28,9.83,11.82,9.83,11.25,9.71,12.02,10.03,12.02,9.71,11.46,9.83,10.98,9.83,12.02,11.13,12.02,10.31,12.02,10.32,12.02,9.32,12.02,10.31,11.06,10.48,12.02,10.32,12.02,9.32,12.02,10.31,12.02,11.13,11.93,9.71,11.06,9.83,10.98,9.71,11.46,10.32,12.02,10.03,11.01,9.71,12.02,11.13,12.02,9.32,12.02,10.48,12.02,9.71,10.98,10.03,10.98,12.27,0.00,12.70,0.00,14.10,0.00,11.06,0.00,Patient lift sling or seat
E0621,UE,,D,IN,0.00,0.00,72.86,84.70,72.86,92.28,77.39,90.29,69.89,88.81,75.22,92.28,83.47,92.28,77.29,92.28,77.29,92.28,72.86,86.18,72.86,84.70,73.73,84.70,75.22,87.64,78.57,84.70,78.57,88.25,73.73,92.28,72.86,84.70,72.86,92.28,83.47,92.28,77.29,92.28,83.47,92.28,78.57,84.70,73.73,88.57,73.73,84.70,72.86,92.28,75.22,92.28,72.86,85.83,73.73,84.70,73.73,92.28,83.47,92.28,77.29,84.70,77.39,92.28,69.89,92.28,77.29,84.70,78.57,92.28,77.39,92.28,69.89,92.28,77.29,92.28,83.47,92.28,72.86,84.70,73.73,84.70,72.86,85.83,77.39,92.28,75.22,84.70,72.86,92.04,83.47,92.28,69.89,92.28,78.57,92.28,72.86,84.70,75.22,84.70,91.97,0.00,95.26,0.00,93.37,0.00,85.92,0.00,Patient lift sling or seat
E0627,NU,,D,IN,0.00,0.00,315.63,410.33,315.63,405.37,309.94,405.71,311.09,405.71,349.35,410.33,305.01,410.33,280.88,405.71,280.88,405.71,315.63,410.33,315.63,410.33,333.69,405.37,349.35,410.33,329.35,410.33,329.35,397.15,333.69,407.24,315.63,410.33,315.63,405.37,305.01,410.33,280.88,405.71,305.01,410.33,329.35,405.71,333.69,410.33,333.69,410.33,315.63,405.71,349.35,410.33,315.63,410.33,333.69,410.33,333.69,405.37,305.01,410.33,280.88,405.71,309.94,405.71,311.09,405.71,280.88,404.52,329.35,405.71,309.94,405.71,311.09,410.33,280.88,405.71,305.01,410.33,315.63,410.33,333.69,410.33,315.63,410.33,309.94,405.71,349.35,410.33,315.63,410.33,305.01,410.33,311.09,405.71,329.35,405.71,315.63,405.71,349.35,410.33,421.55,0.00,437.71,0.00,465.43,0.00,418.05,0.00,"Seat lift mech, electric any"
E0627,RR,,D,IN,0.00,0.00,31.56,41.04,31.56,40.54,30.99,40.57,31.11,40.57,34.94,41.04,30.50,41.04,28.09,40.57,28.09,40.57,31.56,41.04,31.56,41.04,33.37,40.55,34.94,41.04,32.94,41.04,32.94,39.71,33.37,40.72,31.56,41.04,31.56,40.54,30.50,41.04,28.09,40.57,30.50,41.04,32.94,40.57,33.37,41.04,33.37,41.04,31.56,40.57,34.94,41.04,31.56,41.04,33.37,41.04,33.37,40.54,30.50,41.04,28.09,40.57,30.99,40.57,31.11,40.57,28.09,40.45,32.94,40.57,30.99,40.57,31.11,41.04,28.09,40.57,30.50,41.04,31.56,41.04,33.37,41.04,31.56,41.04,30.99,40.54,34.94,41.04,31.56,41.04,30.50,41.04,31.11,40.57,32.94,40.57,31.56,40.57,34.94,41.04,42.15,0.00,43.78,0.00,53.48,0.00,41.80,0.00,"Seat lift mech, electric any"
E0627,UE,,D,IN,0.00,0.00,236.72,307.75,236.72,304.01,232.45,304.27,233.32,304.26,262.01,307.75,228.76,307.75,210.66,304.27,210.66,304.27,236.72,307.75,236.72,307.75,250.26,304.01,262.01,307.75,247.01,307.75,247.01,297.87,250.26,305.46,236.72,307.75,236.72,304.01,228.76,307.75,210.66,304.27,228.76,307.75,247.01,304.27,250.26,307.75,250.26,307.75,236.72,304.27,262.01,307.75,236.72,307.75,250.26,307.75,250.26,304.01,228.76,307.75,210.66,304.27,232.45,304.27,233.32,304.27,210.66,303.39,247.01,304.27,232.45,304.27,233.32,307.75,210.66,304.27,228.76,307.75,236.72,307.75,250.26,307.75,236.72,307.75,232.45,304.27,262.01,307.75,236.72,307.75,228.76,307.75,233.32,304.27,247.01,304.27,236.72,304.27,262.01,307.75,316.16,0.00,328.28,0.00,349.07,0.00,313.54,0.00,"Seat lift mech, electric any"
E0629,NU,,D,IN,0.00,0.00,314.20,403.73,314.20,403.39,304.22,403.73,308.62,403.73,345.40,403.73,304.60,403.73,280.88,403.73,280.88,403.73,314.20,403.73,314.20,403.73,327.08,403.40,345.40,403.73,325.47,403.73,325.47,395.17,327.08,403.73,314.20,403.73,314.20,403.39,304.60,403.73,280.88,403.73,304.60,403.73,325.47,403.73,327.08,403.73,327.08,403.73,314.20,403.73,345.40,403.73,314.20,403.73,327.08,403.73,327.08,403.39,304.60,403.73,280.88,403.73,304.22,403.73,308.62,403.73,280.88,369.07,325.47,403.73,304.22,403.73,308.62,403.73,280.88,403.73,304.60,403.73,314.20,403.73,327.08,403.73,314.20,403.73,304.22,403.73,345.40,403.73,314.20,403.73,304.60,403.73,308.62,403.73,325.47,403.73,314.20,403.73,345.40,403.73,421.55,0.00,437.71,0.00,465.43,0.00,384.59,0.00,"Seat lift mech, non-electric"
E0629,RR,,D,IN,0.00,0.00,31.42,40.37,31.42,40.34,30.42,40.37,30.86,40.37,34.54,40.37,30.46,40.37,28.09,40.37,28.09,40.37,31.42,40.37,31.42,40.37,32.71,40.36,34.54,40.37,32.55,40.37,32.55,39.51,32.71,40.37,31.42,40.37,31.42,40.34,30.46,40.37,28.09,40.37,30.46,40.37,32.55,40.37,32.71,40.37,32.71,40.37,31.42,40.37,34.54,40.37,31.42,40.37,32.71,40.37,32.71,40.34,30.46,40.37,28.09,40.37,30.42,40.37,30.86,40.37,28.09,36.91,32.55,40.37,30.42,40.37,30.86,40.37,28.09,40.37,30.46,40.37,31.42,40.37,32.71,40.37,31.42,40.37,30.42,40.34,34.54,40.37,31.42,40.37,30.46,40.37,30.86,40.37,32.55,40.37,31.42,40.37,34.54,40.37,42.15,0.00,43.78,0.00,53.48,0.00,38.46,0.00,"Seat lift mech, non-electric"
E0629,UE,,D,IN,0.00,0.00,235.65,302.78,235.65,302.53,228.16,302.78,231.46,302.78,259.05,302.78,228.45,302.78,210.66,302.78,210.66,302.78,235.65,302.78,235.65,302.78,245.31,302.53,259.05,302.78,244.10,302.78,244.10,296.38,245.31,302.78,235.65,302.78,235.65,302.53,228.45,302.78,210.66,302.78,228.45,302.78,244.10,302.78,245.31,302.78,245.31,302.78,235.65,302.78,259.05,302.78,235.65,302.78,245.31,302.78,245.31,302.53,228.45,302.78,210.66,302.78,228.16,302.78,231.46,302.78,210.66,276.79,244.10,302.78,228.16,302.78,231.46,302.78,210.66,302.78,228.45,302.78,235.65,302.78,245.31,302.78,235.65,302.78,228.16,302.78,259.05,302.78,235.65,302.78,228.45,302.78,231.46,302.78,244.10,302.78,235.65,302.78,259.05,302.78,316.16,0.00,328.28,0.00,349.07,0.00,288.43,0.00,"Seat lift mech, non-electric"
E0630,RR,,D,CR,0.00,0.00,72.12,104.86,72.12,110.28,70.91,109.48,66.97,101.14,70.78,110.28,70.54,100.36,69.97,99.61,69.97,110.28,72.12,99.61,72.12,103.26,72.75,110.28,70.78,108.54,72.23,110.28,72.23,109.79,72.75,110.28,72.12,103.52,72.12,110.28,70.54,110.28,69.97,108.49,70.54,110.28,72.23,107.86,72.75,100.58,72.75,110.28,72.12,99.61,70.78,105.53,72.12,110.28,72.75,110.28,72.75,110.28,70.54,103.44,69.97,106.76,70.91,104.08,66.97,110.28,69.97,110.28,72.23,110.28,70.91,110.28,66.97,110.28,69.97,110.28,70.54,107.19,72.12,101.61,72.75,110.28,72.12,110.28,70.91,110.28,70.78,110.28,72.12,109.48,70.54,106.36,66.97,110.28,72.23,99.61,72.12,107.78,70.78,110.28,101.75,0.00,106.08,0.00,107.86,0.00,110.28,0.00,Patient lift hydraulic
E0635,RR,,D,CR,0.00,0.00,141.10,145.31,141.10,163.54,153.12,163.54,148.29,163.54,144.97,145.31,142.61,145.31,130.63,145.31,130.63,145.31,141.10,145.31,141.10,163.54,141.24,145.31,144.97,163.54,140.59,161.05,140.59,163.54,141.24,151.17,141.10,163.54,141.10,163.54,142.61,163.54,130.63,145.31,142.61,163.54,140.59,163.54,141.24,145.31,141.24,145.31,141.10,163.54,144.97,163.54,141.10,163.54,141.24,163.54,141.24,156.50,142.61,163.54,130.63,145.31,153.12,163.54,148.29,163.54,130.63,158.20,140.59,145.31,153.12,163.54,148.29,154.78,130.63,145.31,142.61,145.31,141.10,163.54,141.24,163.54,141.10,163.54,153.12,163.54,144.97,145.31,141.10,145.31,142.61,163.54,148.29,152.95,140.59,150.51,141.10,145.31,144.97,163.54,186.27,0.00,196.53,0.00,241.96,0.00,160.28,0.00,Patient lift electric
E0636,RR,,D,CR,0.00,0.00,1192.34,1393.83,1192.34,1393.83,1207.50,1393.83,1163.69,1393.83,1228.71,1393.83,1170.69,1393.83,1129.21,1393.83,1129.21,1393.83,1192.34,1393.83,1192.34,1393.83,1248.08,1393.83,1228.71,1393.83,1214.20,1393.83,1214.20,1393.83,1248.08,1393.83,1192.34,1393.83,1192.34,1393.83,1170.69,1393.83,1129.21,1393.83,1170.69,1393.83,1214.20,1393.83,1248.08,1393.83,1248.08,1393.83,1192.34,1393.83,1228.71,1393.83,1192.34,1393.83,1248.08,1393.83,1248.08,1393.83,1170.69,1393.83,1129.21,1393.83,1207.50,1393.83,1163.69,1393.83,1129.21,1393.83,1214.20,1393.83,1207.50,1393.83,1163.69,1393.83,1129.21,1393.83,1170.69,1393.83,1192.34,1393.83,1248.08,1393.83,1192.34,1393.83,1207.50,1393.83,1228.71,1393.83,1192.34,1393.83,1170.69,1393.83,1163.69,1393.83,1214.20,1393.83,1192.34,1393.83,1228.71,1393.83,1466.14,0.00,1466.14,0.00,1613.48,0.00,1466.14,0.00,Pt support & positioning sys
E0639,RR,,D,CR,155.86,132.48,132.48,0.00,155.86,0.00,155.86,0.00,154.25,0.00,155.86,0.00,133.75,0.00,132.48,0.00,132.48,0.00,132.48,0.00,153.49,0.00,143.72,0.00,155.86,0.00,155.86,0.00,155.86,0.00,153.91,0.00,155.86,0.00,155.86,0.00,155.86,0.00,132.48,0.00,155.86,0.00,155.86,0.00,132.48,0.00,142.84,0.00,155.86,0.00,155.86,0.00,155.86,0.00,155.86,0.00,155.86,0.00,155.86,0.00,132.48,0.00,154.73,0.00,155.86,0.00,151.34,0.00,138.86,0.00,155.86,0.00,150.01,0.00,140.58,0.00,132.56,0.00,155.86,0.00,155.86,0.00,155.86,0.00,155.86,0.00,133.82,0.00,132.48,0.00,155.86,0.00,149.68,0.00,134.91,0.00,132.48,0.00,155.86,0.00,155.79,0.00,166.59,0.00,213.79,0.00,151.31,0.00,Moveable patient lift system
E0640,RR,,D,CR,155.86,132.48,132.48,0.00,155.86,0.00,155.86,0.00,154.25,0.00,155.86,0.00,133.75,0.00,132.48,0.00,132.48,0.00,132.48,0.00,153.49,0.00,143.72,0.00,155.86,0.00,155.86,0.00,155.86,0.00,153.91,0.00,155.86,0.00,155.86,0.00,155.86,0.00,132.48,0.00,155.86,0.00,155.86,0.00,132.48,0.00,142.84,0.00,155.86,0.00,155.86,0.00,155.86,0.00,155.86,0.00,155.86,0.00,155.86,0.00,132.48,0.00,154.73,0.00,155.86,0.00,151.34,0.00,138.86,0.00,155.86,0.00,150.01,0.00,140.58,0.00,132.56,0.00,155.86,0.00,155.86,0.00,155.86,0.00,155.86,0.00,133.82,0.00,132.48,0.00,155.86,0.00,149.68,0.00,134.91,0.00,132.48,0.00,155.86,0.00,155.79,0.00,166.59,0.00,213.79,0.00,151.31,0.00,Fixed patient lift system
